dest_county_fips,tons_2025,tons_2030,state_fips,state_name,rank
36029,61471.84266848171,68972.29801616693,36,New York,1
42003,60339.313976760226,63428.358582091045,42,Pennsylvania,2
42101,50094.58018823778,54269.660285818514,42,Pennsylvania,3
36047,43140.36366812873,53172.522870901346,36,New York,4
25017,43090.69994430414,49309.466747649305,25,Massachusetts,5
36081,42834.08209571024,52670.91606081096,36,New York,6
34039,41562.68560247207,45119.15803464991,34,New Jersey,7
36103,39549.80513372566,48460.76676481283,36,New York,8
34023,39227.60293620321,43400.31070441705,34,New Jersey,9
9110,34935.167607282696,39243.68696229137,09,Connecticut,10
34003,34774.81560248962,38992.47132423984,34,New Jersey,11
36061,32529.913957476587,40081.77685297673,36,New York,12
24005,29834.72793770558,29396.18563840083,24,Maryland,13
24510,29660.259817991515,27064.90500230763,24,Maryland,14
34013,29295.235516675864,32718.285945635573,34,New Jersey,15
36059,28756.650643480178,35386.75857666145,36,New York,16
34017,27679.1362723313,30483.831240905743,34,New Jersey,17
42071,27228.9028330918,29658.242802406552,42,Pennsylvania,18
24031,27136.352286821068,30141.302300038078,24,Maryland,19
36055,26619.07438313106,28675.64907503439,36,New York,20
51059,26052.757683345837,28953.96126162077,51,Virginia,21
42091,25464.856190220544,29331.135955347887,42,Pennsylvania,22
34025,24816.49120503874,27650.678757313166,34,New Jersey,23
24003,24018.54616312115,22239.269460455493,24,Maryland,24
25027,23913.61864450944,27346.25171100868,25,Massachusetts,25
10003,23751.01021133857,28105.90684268069,10,Delaware,26
36119,23745.730609304388,29103.959216905765,36,New York,27
36067,22857.59167859446,26651.74188970884,36,New York,28
36005,22544.11264394374,27741.96211490478,36,New York,29
34027,22390.787290269724,24956.17558402125,34,New Jersey,30
25021,22305.27539696496,25432.316792496047,25,Massachusetts,31
42045,22171.3312107651,23554.888505250445,42,Pennsylvania,32
42133,22075.65205550272,23726.972629335272,42,Pennsylvania,33
24033,21960.836013449076,25462.94680629585,24,Maryland,34
9190,21783.39997951445,24643.69802015666,09,Connecticut,35
42017,20884.355191662176,23695.734522093066,42,Pennsylvania,36
25009,20649.511689409603,23613.948232523573,25,Massachusetts,37
34015,20605.546033332947,22836.024343037618,34,New Jersey,38
51710,20525.331323485454,21576.361134982755,51,Virginia,39
42129,20345.490501217468,20918.75609500993,42,Pennsylvania,40
51810,19992.210723961136,20452.4517035823,51,Virginia,41
25025,19901.84433060962,22612.301916351673,25,Massachusetts,42
25005,19552.270051347186,22314.608616410296,25,Massachusetts,43
9170,19476.874210049937,22087.96848669906,09,Connecticut,44
42077,19439.06512151581,21340.97545505259,42,Pennsylvania,45
34031,19408.153358227177,21705.034975700444,34,New Jersey,46
34007,19204.509888443787,22605.83042272017,34,New Jersey,47
44007,18724.763682494,21262.854960268327,44,Rhode Island,48
34029,18710.317024776792,21124.94258619752,34,New Jersey,49
33011,18257.1174179004,22499.560181459517,33,New Hampshire,50
