Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
1100 Buckingham St,1100 Buckingham St,B,Existing,325000,34000,$6.95 - 7.95,Warehouse,Watertown,100.00,1970,2000,325000,0.43,"19'0""",,7,1200a/480v 3p,,,2025 Tax @ $0.9122/sf,,0,0,,Yes,,140,41.6160695,-73.0960454
18 Craftsman Rd,,B,Existing,279256,279256,$5.50,Warehouse,East Windsor,100.00,1979,2021,279256,1.07,"20'0""",40'w x 35'd,9,800-6000a/277-480v 3p,,,2025 Tax @ $1.5346/sf,,0,0,"3/10'0""w x 12'0""h",Wet,,300,41.9175638,-72.5904117
59 Field St,Building C,C,Existing,239444,204652,$8.00 - 10.50,Warehouse,Torrington,14.53,1916,,79815,2.09,"10'0""",,,,,,2025 Tax @ $0.2842/sf,,204652,204652,,,,500,41.8067472,-73.1261358
730 N Main St,,C,Existing,350199,50800,$5.95,Warehouse,Waterbury,85.49,1890,,350000,0.45,"27'6""",,2,600-1600a 3p,,City,2024 Tax @ $0.1321/sf,,50800,50800,4,Wet,City,159,41.5630125,-73.0310594
53 Manning Rd,,C,Existing,362568,227783,$4.00 - 5.00,Warehouse,Enfield,37.18,1962,,181284,0.46,"14'9""",25'w x 25'd,24,800-2500a/208-480v 3p,,City,2024 Tax @ $0.4830/sf,,227783,227783,2,Wet,City,166,42.0181420,-72.5984320
125 Old Gate Ln,Old Gate Business Park,B,Existing,350000,60004,$8.00 - 13.00,Distribution,Milford,82.86,1970,2004,270000,1.21,"24'0""",25'w x 40'd,14,Heavy,,City,,,60004,60004,2,Wet,City,424,41.2287967,-73.0297337
550 Research Pky,,B,Existing,326751,526751,$6.00,Warehouse,Meriden,0.00,1969,2006,326751,0.94,"18'0""",35'w x 40'd,41,3000a/277-480v 3p,,City,2024 Tax @ $0.8981/sf,,326751,326751,"3/10'0""w x 12'0""h",Wet,City,190,41.5125890,-72.7646910
640 N Washington Ave,,C,Existing,275301,36000,$8.00,Warehouse,Bridgeport,86.92,1940,,89000,0.84,"35'0""",,8,800a/277-480v 3p,,,2025 Tax @ $0.3091/sf,,36000,36000,1,Wet,,75,41.1925094,-73.1908148
30 Forbes Rd,,B,Existing,460000,460000,$5.70 - 6.97 (Est.),Distribution,Dayville,100.00,1989,,460000,0.43,"26'0""",40'w x 45'd,56,4600a/277-480v 3p,,,2025 Tax @ $0.7153/sf,,0,0,2,Wet,,200,41.8595765,-71.9077145
30 Hamilton Rd,,A,Under Construction,250320,143845,$6.59 - 8.05 (Est.),Warehouse,Windsor Locks,42.54,2026,,250240,0.60,"36'0""",44'w x 55'd,43,3000a/277-480v 3p,,,,,143845,0,2,ESFR,,149,41.9191310,-72.6833026
137 Lathrop Rd,,A,Existing,202044,,$5.70 - 6.97 (Est.),Distribution,Plainfield,100.00,2022,,202044,0.37,"36'0""",,134,,,,,,,0,,Wet,,825,41.6592201,-71.9122951
383 Middle St,,B,Existing,322840,250000,$9.26 - 11.32 (Est.),Warehouse,Bristol,22.56,1960,2004,322840,3.63,"15'0""",35'w x 35'd,3,Heavy,,,2025 Tax @ $0.0141/sf,,250000,250000,2,Wet,,1171,41.6592420,-72.9141110
219-239 W Service Rd,,B,Existing,425294,,$6.38 - 7.80 (Est.),Warehouse,Hartford,100.00,1967,2009,424627,0.37,"36'0""",,16,2500a/240v 3p,,City,2024 Tax @ $2.0411/sf,,,0,"8/18'0""w x 14'0""h",ESFR,City,157,41.7969325,-72.6563467
77 Anthony St,,C,Existing,202000,202000,$5.00,Warehouse,Jewett City,0.00,1894,,101000,,"22'0""",,8,,,,2024 Tax @ $0.0286/sf,,202000,202000,2,Wet,,,41.6080850,-71.9860556
400 Captain Neville Dr,,B,Existing,208000,10000,$9.50,Warehouse,Waterbury,95.19,1972,,208000,2.74,"17'0""",50'w x 50'd,10,1800a/480v 3p,,Yes,,,10000,10000,1,Wet,Yes,570,41.5366930,-72.9754160
70 Community Ave,,B,Existing,357401,210000,$5.75,Warehouse,Plainfield,41.24,1990,,357401,0.13,"18'0""",25'w,25,2000a/277-480v 3p,,Yes,2024 Tax @ $0.1531/sf,,210000,210000,"1/12'0""w x 14'0""h",Wet,Yes,45,41.6731086,-71.9196084
32 Henry St,Shepard's Warehouse,C,Existing,378947,2000,$14.00,Warehouse,Bethel,99.47,1972,,360000,0.10,"26'0""",,28,400a 3p,Providence and Worcester Railroad,City,2024 Tax @ $0.4944/sf,,2000,2000,"2/16'0""w x 16'0""h",Yes,City,35,41.3665070,-73.4166870
475 Knotter Dr,,C,Existing,356612,340000,$9.00,Distribution,Cheshire,100.00,1986,,150000,1.39,"24'0""",,37,,,,2025 Tax @ $1.3688/sf,,340000,0,2,Wet,,472,41.5445466,-72.9228501
1 Market Cir,I-91 Logistics Center,B,Existing,355000,230000,$8.95,Distribution,Windsor,35.21,1974,,355000,1.05,"27'0""",40'w x 50'd,22,2500a/480v 3p,,,2024 Tax @ $0.7537/sf,,230000,230000,"1/12'0""w x 14'0""h",ESFR,,371,41.8983730,-72.6294770
110 Tradeport Dr,,A,Existing,234000,40000,$7.75,Distribution,Windsor,100.00,2022,,234000,0.75,"32'0""",50'w x 50'd,33,3000a/480v 3p,,County,2025 Tax @ $0.0367/sf,,0,0,2,ESFR,County,175,41.9147097,-72.7141077
75 Baker Hollow Rd,PNK Baker Hollow 1,A,Under Construction,298905,,$6.02 - 7.36 (Est.),Distribution,Windsor,100.00,2026,,298905,0.00,"40'0""",50'w x 56'd,36,3000a/277-480v 3p,,,,,,0,2,ESFR,,75,41.8727654,-72.6968720
26 Barnes Industrial Rd N,,B,Existing,221643,,$8.92 - 10.90 (Est.),Warehouse,Wallingford,100.00,1977,,185990,1.01,"18'0""",,5,,,,2024 Tax @ $0.6661/sf,,,0,None,,,223,41.4889905,-72.7964834
1265 W Broad St,,A,Existing,231000,231000,$10.94 - 13.37 (Est.),Warehouse,Stratford,0.00,2024,,231000,1.00,"36'0""",56'w x 50'd,38,2500a/480v,,City,2025 Tax @ $2.0776/sf,,231000,231000,2,,City,232,41.1901764,-73.1363721
61 Chapel Rd,,B,Existing,485000,,$9.36 - 11.43 (Est.),Distribution,Manchester,100.00,1981,2020,485000,0.52,"32'0""",36'w x 40'd,48,1600a/480v 3p,,,2025 Tax @ $1.4743/sf,,,0,"2/20'0""w x 22'0""h",Wet,,160,41.7956841,-72.5702632
3 Chirnside Rd,,C,Existing,384510,,$7.37 - 9.01 (Est.),Warehouse,Windsor Locks,100.00,1965,,384510,0.12,,,,,,,2024 Tax @ $0.3614/sf,,,0,None,,,42,41.9340580,-72.6658130
460 Coe Ave,"Town Fair Tire Centers, Inc.",B,Existing,210314,,$8.58 - 10.49 (Est.),Warehouse,East Haven,100.00,1975,,210314,3.79,,,,,,,2025 Tax @ $1.1129/sf,,,0,,Wet,,300,41.2616895,-72.8741854
160 Corporate Ct,,B,Existing,241333,,$9.41 - 11.50 (Est.),Distribution,Meriden,100.00,1987,2019,241333,1.24,"27'0""",50'w x 43'd,53,2000a/277-480v 3p,,City,,,,0,"2/10'0""w x 12'0""h",Wet,City,258,41.5119506,-72.7615426
120 Countyline Dr,,A,Existing,403000,,$8.22 - 10.05 (Est.),Distribution,Cromwell,100.00,2019,,403000,0.81,"32'0""",50'w x 60'd,50,3000a/277-480v,,,2025 Tax @ $2.5287/sf,,,0,2,ESFR,City,327,41.6308177,-72.6847722
280 Dividend Rd,,B,Existing,200000,,$7.64 - 9.34 (Est.),Distribution,Rocky Hill,100.00,1979,,200000,0.70,,,6,,,,2025 Tax @ $1.2410/sf,,,0,"7/20'0""w x 12'0""h",,,100,41.6486000,-72.6333400
360 Dr Martin Luther King Jr Dr,Bldg 1-9,B,Existing,218706,,$12.32 - 15.05 (Est.),Warehouse,Norwalk,100.00,1975,,122285,,"41'0""",,15,,,,2025 Tax @ $0.9233/sf,,,0,4,,,,41.0775447,-73.4296916
11 Edmund Rd,,B,Existing,211576,,$10.30 - 12.59 (Est.),Warehouse,Newtown,100.00,1973,,211576,0.95,"25'0""",40'w x 42'd,17,1200a/480v 3p,,City,2025 Tax @ $0.7206/sf,,,0,1,Wet,City,200,41.4247560,-73.3073870
295 Ella Grasso Tpke,Bradley Airport Industrial Park,B,Existing,450560,216732,$5.09 - 6.22 (Est.),Warehouse,Windsor Locks,100.00,1963,,450560,0.58,"16'6""",40'w x 40'd,12,4000a/277-480v 3p,,City,2024 Tax @ $0.6195/sf,,216732,0,"7/12'0""w x 14'0""h",Wet,City,260,41.9357042,-72.6687161
359 Ellington Rd,I-291 Logistics Center West,A,Existing,200000,,$8.12 - 9.92 (Est.),Distribution,South Windsor,100.00,2020,,200000,0.67,"32'0""",50'w x 50'd,40,3000a/480v 3p,,Yes,2024 Tax @ $2.6406/sf,,,0,"2/12'0""w x 12'0""h",ESFR,Yes,130,41.8059790,-72.6047420
