Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
600-618 Grantham Ln,,B,Existing,250000,277000,$9.50 - 10.00,Warehouse,New Castle,0.00,1960,,250000,0.17,"26'0""",,12,12000a/480v 3p,,Yes,2024 Tax @ $0.4617/sf,,250000,223000,"6/14'0""w x 12'0""h",Wet,Yes,40,39.6462800,-75.5924970
60 Starlifter Ave,,A,Existing,249370,56265,$8.50,Warehouse,Dover,77.44,1994,,242400,1.01,"32'0""",45'w x 50'd,,2000a/277-480v 3p 4w,,City,2025 Tax @ $0.4355/sf,,56265,56265,"1/12'0""w x 14'0""h",ESFR,City,247,39.1446370,-75.4711980
7494 Federalsburg Rd,Cannon Warehouse Systems,C,Existing,240258,,$3.26 - 3.99 (Est.),Warehouse,Bridgeville,100.00,1993,,240258,0.00,"28'0""",,,,,,2025 Tax @ $0.1902/sf,,,0,19,Dry,,,38.7405100,-75.6072020
205 Stanton Christiana Rd,Crossroads 95 Logistics Center,A,Under Construction,442530,442530,$8.76 - 9.67 (Est.),Warehouse,Newark,0.00,2027,,442530,0.59,"36'0""",50'w x 54'd,44,3000a/277v 3p,,,,,442530,0,"2/12'0""w x 14'0""h",ESFR,,329,39.6790929,-75.6612238
1700 Dulaney St,,B,Existing,208000,40000,$6.75,Warehouse,Seaford,80.77,2000,,208000,0.09,"28'0""",,6,60a,,,2025 Tax @ $0.1222/sf,,40000,40000,None,,,20,38.6406952,-75.6384869
17573 S Dupont Hwy,,B,Existing,200000,72000,$3.50 - 8.00,Warehouse,Harrington,64.00,1936,,196328,0.19,"20'0""",,6,3600a/480v,,,2025 Tax @ $0.1001/sf,,72000,72000,4,Yes,,38,38.9187956,-75.5664289
2051 Old Coochs Bridge Rd,Building D,A,Existing,294600,,$10.46 - 12.78 (Est.),Warehouse,Newark,100.00,2023,,294600,0.79,"40'0""",54'w x 48'd,63,,,,2024 Tax @ $0.0902/sf,,,0,2,ESFR,,323,39.6220908,-75.7396873
1204 - 1 E 12th St,,C,Existing,212000,,$5.41 - 6.62 (Est.),Warehouse,Wilmington,100.00,1940,,212000,0.04,"20'0""",,12,480a 3p 4w,,City,2024 Tax @ $0.0705/sf,,,0,"5/8'0""w x 12'0""h",Wet,City,8,39.7413720,-75.5329560
205 West Big Woods Rd,NKS Distributors,A,Existing,275000,,$9.22 - 11.27 (Est.),Distribution,Smyrna,100.00,2022,,275000,,,,,,,,2025 Tax @ $0.1712/sf,,,0,,,,,39.2675570,-75.5826199
104 Alan Dr,D&S Warehosuing,B,Existing,265850,,$8.40 - 10.26 (Est.),Warehouse,Newark,100.00,1980,,265850,0.14,"26'0""",,12,440a 3p,Norfolk Southern,,2024 Tax @ $0.4780/sf,,,0,"5/10'0""w x 14'0""h",Wet,,43,39.6904086,-75.6907541
