Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
60 Maple St,,B,Existing,227166,150773,$8.92 - 10.91 (Est.),Distribution,Mansfield,52.06,1968,,227166,1.06,"21'6""",40'w x 40'd,12,1800a/220-480v 3p,CSX,City,2025 Tax @ $0.7640/sf,,150773,108893,"2/10'0""w x 12'0""h",Wet,City,233,42.0441116,-71.2072797
53 Ayer Rd,,B,Existing,374270,92000,$6.50 - 7.95 (Est.),Warehouse,Littleton,75.42,1965,2022,374270,0.52,"38'0""",,8,,,,,,92000,92000,12,None,,200,42.5466949,-71.5170479
1 Ace St,,C,Existing,283000,66750,$6.00 - 12.00,Warehouse,Fall River,76.41,1890,1990,83333,0.30,"30'0""",,5,3p,,,,,66750,66750,"1/10'0""w x 10'0""h",Wet,Yes,75,41.7259660,-71.1442809
11 Berkshire St,,C,Existing,350000,54000,$6.00,Warehouse,Holyoke,84.57,1934,,80000,0.34,"11'0""",,11,Heavy,,,2025 Tax @ $0.0195/sf,,54000,54000,Yes,,,100,42.1935451,-72.6153534
10-14 New Bond St,,B,Existing,319187,54000,$6.75,Warehouse,Worcester,100.00,1901,2017,319187,0.94,"30'0""",20'w x 30'd,20,4000a/480v 3p,,City,2025 Tax @ $1.2040/sf,,54000,0,3,Wet,City,262,42.3070435,-71.8025838
296 Nonotuck St,Nonotuck Mill,C,Existing,205350,17728,$14.00 - 17.50,Warehouse,Northampton,91.37,1885,2019,50000,0.53,"28'0""",,6,400a,,Yes,2025 Tax @ $0.1456/sf,,17728,17728,"7/8'0""w x 8'0""h",Wet,Yes,80,42.3297840,-72.6761140
2341 Providence Rd,,C,Existing,396167,396167,$2.00 - 5.00,Warehouse,Northbridge,0.00,1888,,95000,0.05,,,8,3p,,,2025 Tax @ $0.0826/sf,,396167,396167,"2/10'0""w x 12'0""h",Wet,,20,42.1552322,-71.6530117
111 Adams Rd,,B,Existing,456393,47000,$5.91 - 7.22 (Est.),Distribution,Clinton,89.70,1964,2005,456393,0.44,"28'0""",24'w x 50'd,56,3400-6000a/480v 3p,,City,2025 Tax @ $1.3102/sf,,47000,47000,"3/14'0""w x 18'0""h",Wet,City,275,42.4316708,-71.6886320
95 Aubuchon Dr,,B,Existing,412360,100749,$6.10 - 7.45 (Est.),Distribution,Westminster,75.57,1988,,206180,0.58,"26'0""",30'w x 30'd,39,1200-3000a,,City,2025 Tax @ $0.2686/sf,,100749,100749,4,ESFR,City,180,42.5514239,-71.9163392
1 Burlington Ave,,B,Existing,248045,57200,$10.76 - 13.15 (Est.),Warehouse,Wilmington,100.00,1969,2000,248045,3.22,"18'0""",30'w x 30'd,22,400a/120-480v,Boston & Maine Railroad,City,2025 Tax @ $0.8747/sf,,57200,0,2,Wet,City,800,42.5474771,-71.1759281
250 Cape Hwy,Industrial,C,Existing,218402,16175,$8.78 - 10.74 (Est.),Warehouse,East Taunton,100.00,1971,,218402,0.62,"30'0""",,17,1200a/208v 3p,,Septic Field,2025 Tax @ $0.7812/sf,,16175,0,9,Wet,City,135,41.9037274,-70.9912620
157 Columbia St,Columbia Mill,C,Existing,247941,230000,$5.59 - 6.83 (Est.),Warehouse,Lee,100.00,1875,,230000,,"16'0""",,25,230-248v 3p,CSX,Yes,2025 Tax @ $0.0831/sf,,230000,0,Yes,Dry,Well,,42.3154254,-73.2471775
640 Crawford St,,B,Existing,223184,60000,$6.88 - 8.41 (Est.),Warehouse,Fitchburg,100.00,1968,,217000,1.38,"14'0""",30'w x 40'd,23,Heavy,Boston & Maine Railroad,Septic Field,2025 Tax @ $0.0042/sf,,60000,0,None,Yes,City,300,42.5541530,-71.7515670
89 Cross St,,C,Existing,376209,90000,$10.56 - 12.90 (Est.),Warehouse,Holliston,76.08,1967,,351209,0.16,"60'0""",,36,,,,2025 Tax @ $0.5818/sf,,90000,90000,"2/10'0""w x 12'0""h",ESFR,,56,42.1833323,-71.4364974
90 Huntoon Memorial Hwy,,A,Existing,267600,267600,$7.80 - 9.53 (Est.),Warehouse,Leicester,0.00,2023,,267600,1.12,"36'0""",56'w x 50'd,45,4000a/480v 3p 4w,,City,,,267600,267600,3,ESFR,City,358,42.2053182,-71.9050000
5-9 Latti Farm Rd,,C,Existing,200000,320000,$8.20 - 10.02 (Est.),Warehouse,Millbury,100.00,1988,,100000,0.00,"27'0""",25'w x 50'd,16,,,City,2025 Tax @ $0.4400/sf,,200000,0,,Wet,City,,42.2182121,-71.7706572
725 Main St,,B,Existing,318995,62978,$8.28 - 10.12 (Est.),Distribution,Millis-Clicquot,80.26,1970,,318995,0.97,"14'0""",20'w x 62'd,29,1500-4000a/277-480v 3p 4w,,City,2025 Tax @ $0.2383/sf,,62978,62978,3,Yes,City,310,42.1705200,-71.3537314
150 Revolutionary Dr,,A,Existing,234000,234000,$8.75 - 10.69 (Est.),Warehouse,Taunton,0.00,2024,,234000,1.30,"36'0""",55'w x 52'd,35,4000a,,City,,,234000,234000,2,ESFR,City,,41.8673800,-71.0423214
200 Shuman Ave,,B,Existing,238872,48000,$4.45 - 5.44 (Est.),Warehouse,Stoughton,79.91,1980,2022,238872,0.59,"20'0""",31'w x 31'd,16,3000a/240v 3p 4w,,,2025 Tax @ $1.2376/sf,,48000,48000,2,Wet,,140,42.1168868,-71.0671545
380 S Worcester St,,A,Existing,458248,205783,$7.50 - 9.17 (Est.),Warehouse,Norton,68.89,1965,1999,222750,1.00,"22'0""",30'w x 50'd,79,800-3000a/120-208v 3p,,City,,,205783,142571,2,Wet,City,,41.9392230,-71.1809117
120 Gilboa St,,C,Existing,372486,48369,$2.00 - 8.00,Warehouse,Douglas,100.00,1904,,113704,0.65,"20'0""",50'w,5,2886a/600v,,,2025 Tax @ $0.0042/sf,,48369,0,"2/12'0""w x 14'0""h",,,200,42.0839984,-71.6996346
109 Howe St,,C,Existing,301036,174000,$3.00 - 5.00,Warehouse,Fall River,42.20,1912,,100345,0.07,"18'0""",11'w x 25'd,2,Heavy,,Yes,2025 Tax @ $0.0716/sf,,174000,174000,,Wet,Yes,22,41.6788460,-71.1764870
475 Leominster Shirley Rd,,A,Existing,372000,,$6.90 - 8.43 (Est.),Warehouse,Lunenburg,100.00,2023,,372000,1.08,"36'0""",56'w x 50'd,71,4000a/480v 3p 4w,,,,,,52192,2,ESFR,,402,42.5419625,-71.6810145
100 Adams Rd,,A,Existing,345774,114830,$8.10 - 9.90 (Est.),Distribution,Clinton,84.41,1999,,345774,1.01,"32'0""",40'w x 50'd,57,1200-1600a/277-480v 3p 4w,,City,2025 Tax @ $2.0145/sf,,114830,53911,"3/12'0""w x 14'0""h",ESFR,City,350,42.4284520,-71.6902550
135 Alden St,,C,Existing,413074,,$6.22 - 7.60 (Est.),Warehouse,Fall River,100.00,1872,,80000,0.37,"18'0""",,8,Heavy,,,2025 Tax @ $0.1174/sf,,,0,None,Wet,,75,41.6883306,-71.1360186
340 Ballardvale St,,A,Existing,493921,,$12.60 - 15.40 (Est.),Warehouse,Andover,100.00,1969,1980,469225,0.36,"32'0""",40'w x 43'd,87,Heavy,,City,2025 Tax @ $1.8422/sf,,,0,None,Wet,City,270,42.6069496,-71.1623339
301 Bartlett St,,A,Existing,220106,,$10.89 - 13.31 (Est.),Warehouse,Northborough,100.00,2018,,220106,1.00,"32'0""",40'w x 45'd,31,2000a/277-480v 3p 4w,,,,,,0,Yes,ESFR,,207,42.3209031,-71.6032740
900 Bedford St,,A,Existing,219000,178800,$11.16 - 13.64 (Est.),Distribution,Bridgewater,18.36,2023,,219000,0.84,"32'0""",50'w x 50'd,40,3000a/480v 3p,,,,,178800,178800,,,,184,41.9634274,-70.9705988
1 Beeman Rd,,B,Existing,342900,195077,$11.12 - 13.60 (Est.),Distribution,Northborough,43.11,1983,,300253,1.15,"33'7""",29'w x 40'd,104,1200a/277v 3p,,Septic Field,2025 Tax @ $1.4881/sf,,195077,195077,"1/12'0""w x 14'0""h",Wet,,345,42.3118620,-71.6068200
1 Better Way,,B,Existing,293274,,$4.69 - 5.74 (Est.),Distribution,Chicopee,100.00,1990,,293274,1.36,"24'0""",50'w x 50'd,25,9600a/480v 3p 4w,,,2025 Tax @ $0.8176/sf,,,0,"1/12'0""w x 14'0""h",Wet,,400,42.2069621,-72.5531087
275 Bodwell St,,A,Existing,210000,210000,$8.00 - 9.78 (Est.),Warehouse,Avon,100.00,1984,,210000,0.71,"25'0""",40'w x 40'd,18,2000a/277-480v 3p,,City,2025 Tax @ $0.0240/sf,,210000,0,1,Wet,City,150,42.1393229,-71.0611322
39 S Broad St,,C,Existing,328528,,$5.36 - 6.55 (Est.),Warehouse,Westfield,100.00,1970,1980,328528,,"25'11""",49'w x 39'd,2,125a/480v,,City,2025 Tax @ $0.3487/sf,,,0,None,Wet,City,,42.1108268,-72.7484767
610 Broadway,,A,Existing,290384,,$10.53 - 12.87 (Est.),Distribution,Lawrence,100.00,1997,,74045,8.51,"31'0""",28'w x 32'd,21,Heavy,,City,2025 Tax @ $0.0673/sf,,,0,"2/12'0""w x 12'0""h",Wet,City,376,42.7159085,-71.1806926
95 Brook St,,A,Existing,242185,,$4.25 - 5.19 (Est.),Warehouse,New Bedford,100.00,1920,,48437,0.19,"22'0""",,,,Pennsylvania,,2025 Tax @ $0.3014/sf,,,0,"4/16'0""w x 12'0""h",,,36,41.6604722,-70.9323112
100 Brookdale Dr,,B,Existing,239000,,$6.27 - 7.67 (Est.),Distribution,Springfield,100.00,1971,,239000,0.42,"20'0""",30'w x 36'd,23,1000a/480v 3p 4w,,City,,,,0,"1/12'0""w x 14'0""h",Wet,City,100,42.1442795,-72.5287277
36 Cabot Rd,,C,Existing,232994,,$12.44 - 15.20 (Est.),Warehouse,Woburn,100.00,1984,,232994,1.15,"21'6""",40'w x 45'd,24,4000a/480v 3p,,City,2025 Tax @ $1.8691/sf,,,0,"1/8'0""w x 8'0""h",Wet,City,336,42.5117827,-71.1393198
139 Campanelli Dr,,A,Existing,450800,450800,$7.80 - 9.53 (Est.),Distribution,Uxbridge,0.00,2022,,450800,0.69,"36'0""",52'w x 46'd,108,4000a/277-480v 3p,,County,,,450800,450800,"2/14'0""w x 16'0""h",ESFR,County,556,42.0595103,-71.6563058
