Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
9325 Snowden River Pky,Snowden Distribution Center,B,Existing,475074,163118,$9.44 - 11.54 (Est.),Warehouse,Columbia,65.66,1968,2004,237537,1.20,"21'4""",40'w x 60'd,39,480v 3p,,City,2024 Tax @ $1.1177/sf,,163118,163118,"7/10'0""w x 12'0""h",Wet,City,395,39.1741968,-76.8362706
6930 San Tomas Rd,,B,Existing,205800,65100,$9.35 - 11.43 (Est.),Warehouse,Elkridge,100.00,1985,,205800,0.66,"24'0""",30'w x 31'd,27,400a/277-480v,CSX,City,2024 Tax @ $1.1535/sf,,65100,0,"2/10'0""w x 12'0""h",ESFR,City,136,39.1869583,-76.7490670
300 Clubhouse Rd,Clubhouse Center,B,Existing,378000,69300,$10.00 - 15.50,Warehouse,Hunt Valley,77.54,1969,2004,205580,1.90,"24'0""",40'w x 40'd,25,6000a/277-480v 3p,,City,2024 Tax @ $0.7548/sf,,69300,86500,"5/10'0""w x 12'0""h",Wet,City,719,39.4828763,-76.6634032
4600 Wedgewood Blvd,Wedgewood II,A,Existing,377700,56000,$49.00,Warehouse,Frederick,91.10,2000,,377700,1.00,"24'0""",40'w x 40'd,60,4000a/220-440v 3p 4w,,City,2024 Tax @ $1.0860/sf,,33600,33600,"3/14'0""w x 16'0""h",Wet,City,400,39.3598012,-77.4230993
1020 Airport 100 Way,,B,Existing,321504,50000,$11.02 - 13.47 (Est.),Warehouse,Hanover,100.00,2001,,321504,0.78,"32'0""",60'w x 60'd,35,277-480v 3p 4w,,,2024 Tax @ $0.9464/sf,,0,0,"1/12'0""w x 14'0""h",ESFR,,250,39.1695976,-76.7177614
4545 Annapolis Rd,,B,Existing,369633,10000,$4.98 - 6.08 (Est.),Warehouse,Baltimore,100.00,1962,,184817,18.84,"22'0""",36'w x 40'd,14,Heavy,,City,2024 Tax @ $0.3147/sf,,10000,0,"1/10'0""w x 12'0""h",Wet,City,194,39.2288747,-76.6392780
242 Breaker Dr,Building 2,A,Existing,293129,293129,$7.59 - 9.28 (Est.),Distribution,Hagerstown,0.00,2024,,293129,0.79,"36'0""",50'w x 54'd,53,4000a,,,,,293129,293129,2,ESFR,,298,39.6217256,-77.7014598
1701 Brightseat Rd,Library of Congress Annex,B,Existing,220593,125000,$12.31 - 15.04 (Est.),Distribution,Landover,43.33,1975,,110296,1.13,"24'0""",,20,1200a/220v 3p,,,2024 Tax @ $2.3850/sf,,125000,125000,"1/10'0""w x 12'0""h",Wet,,200,38.9113184,-76.8525782
755 Chelsea Rd,,A,Existing,259200,259200,$8.27 - 10.11 (Est.),Warehouse,Aberdeen,0.00,2024,,259200,0.90,"32'0""",54'w x 60'd,71,2500a,,,2025 Tax @ $0.0378/sf,,259200,259200,"3/12'0""w x 14'0""h",ESFR,,,39.4472745,-76.2123221
8660 Cherry Ln,,C,Existing,345451,58803,$7.37 - 9.01 (Est.),Warehouse,Laurel,100.00,1976,,345451,0.45,"22'0""",30'w x 33'd,52,800a/480v 3p,,City,2024 Tax @ $1.0172/sf,,58803,0,"9/7'0""w x 10'0""h",Wet,City,157,39.0908930,-76.8524950
7300 Corporate Center Dr,,A,Under Construction,231917,231917,$6.41 - 7.83 (Est.),Warehouse,Hanover,0.00,2027,,231917,0.78,"36'0""",,,,,,,,231917,0,2,,,180,39.1839962,-76.6956669
8203 Fischer Rd,,C,Existing,285550,174064,$6.20 - 7.58 (Est.),Warehouse,Dundalk,55.76,1953,,285550,0.67,"26'0""",,22,120-480v 3p,,City,2024 Tax @ $0.5010/sf,,126332,126332,"11/20'0""w x 14'0""h",Wet,City,100,39.2730490,-76.4629695
10000 Franklin Square Dr,,A,Existing,392500,148215,$10.04 - 12.27 (Est.),Warehouse,Nottingham,62.24,1996,,392500,0.45,"41'6""",46'w,52,8000a/277-480v 3p 4w,,City,2024 Tax @ $1.0902/sf,,148215,148215,3,ESFR,City,297,39.3694024,-76.4582919
16522 Hunters Green Pky,,A,Existing,487000,309000,$6.79 - 8.30 (Est.),Distribution,Hagerstown,36.55,2000,,487000,0.28,"35'0""",42'w x 50'd,77,2800a/277-480v 3p 4w,,,2024 Tax @ $0.4329/sf,,309000,309000,1,ESFR,,139,39.6297607,-77.7962764
3300 Marlo Ln,,A,Existing,216875,109985,$10.33 - 12.62 (Est.),Warehouse,Forestville,0.00,1974,2015,216875,1.84,"32'0""",42'w x 10'd,24,,,,2024 Tax @ $1.2799/sf,,109985,216875,6,Wet,,156,38.8418176,-76.8724791
7077-7081 Oakland Mills Rd,Building B,B,Existing,341784,102507,$7.40 - 9.04 (Est.),Warehouse,Columbia,70.01,1975,,341784,0.18,"22'0""",40'w x 40'd,40,200a/277-480v,CSX,City,2024 Tax @ $0.9601/sf,,102507,102507,"2/10'0""w x 12'0""h",Wet,City,130,39.1749719,-76.8261595
7551 Old Jessup Rd,Dorsey Run Logistics Center,A,Existing,220544,220544,$10.97 - 13.41 (Est.),Distribution,Jessup,0.00,2025,,220544,0.75,"36'0""",54'w x 50'd,52,2500a,,,2024 Tax @ $0.1212/sf,,220544,220544,2,ESFR,,166,39.1545194,-76.7730343
400 Old Post Rd,Harford Gateway Distribution Center,A,Existing,348768,172963,$8.03 - 9.81 (Est.),Distribution,Aberdeen,50.41,2001,,348768,0.60,"32'0""",42'w x 49'd,83,2000a/277-480v 3p,,City,2025 Tax @ $0.3984/sf,,172963,172963,"2/12'0""w x 14'0""h",ESFR,City,289,39.5159290,-76.1520240
1200 E Patapsco Ave,Patapso Industrial Center,A,Existing,265000,446800,$8.56 - 10.46 (Est.),Warehouse,Baltimore,0.00,1978,1994,265000,0.38,"30'0""",,22,1200a/120-480v 3p,CSX,City,2024 Tax @ $1.2487/sf,,265000,265000,"4/10'0""w x 12'0""h",None,City,100,39.2344586,-76.5918478
1470 Progress Way,Eldersburg Business Ctr,A,Existing,356400,4000,$7.69 - 9.40 (Est.),Warehouse,Eldersburg,100.00,1991,,356400,0.84,"28'0""",45'w x 40'd,68,277-480v 3p 4w,,City,2025 Tax @ $0.3697/sf,,0,0,"2/10'0""w x 12'0""h",ESFR,City,184,39.4133689,-76.9428053
6500 Sheriff Rd,,B,Existing,270751,80984,$10.48 - 12.81 (Est.),Warehouse,Landover,79.68,1960,2010,270751,1.75,"21'0""",34'w x 28'd,57,7000a/277-480v 3p 4w,,Yes,,,80984,55030,"2/12'0""w x 14'0""h",Wet,Yes,269,38.9109387,-76.8941399
