Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
586 Lewiston Junction Rd,,B,Existing,123359,79327,$5.00 - 8.00,Distribution,Auburn,35.69,1995,,41120,0.49,,,7,Heavy,,City,,,79327,79327,5,Wet,City,60,44.0451286,-70.2992715
17 Lincoln St,,C,Existing,152460,300,$40.00,Warehouse,Biddeford,99.80,1850,,30492,,,,,,,,2025 Tax @ $1.1003/sf,,300,300,,,,,43.4943210,-70.4556610
55 Logistics Dr,Gendron Distribution Center,B,Existing,283460,180000,$11.50,Warehouse,Auburn,36.50,2006,,283460,,"32'0""",37'w x 50'd,8,Heavy,St. Lawrence & Raquette River Railroad,Yes,2024 Tax @ $0.0495/sf,,180000,180000,"4/14'0""w x 14'0""h",,Yes,,44.0412282,-70.2939882
115 Logistics Dr,,B,Existing,102000,102000,$9.95,Warehouse,Auburn,0.00,2008,,102000,0.00,"26'0""",,14,,,Yes,2024 Tax @ $0.0495/sf,,102000,102000,2,ESFR,Yes,,44.0407501,-70.2955481
26 Morin St,,C,Existing,106200,20400,$6.50,Distribution,Biddeford,80.79,1972,,106200,0.70,"33'0""",,2,,,,2025 Tax @ $0.6634/sf,,20400,20400,None,Yes,,75,43.4636000,-70.4933050
7 Rand Rd,,C,Existing,303156,22000,$10.00,Warehouse,Portland,92.74,1972,,303156,0.66,"33'0""",35'w x 35'd,20,,,,2024 Tax @ $0.6535/sf,,22000,22000,8,Wet,,201,43.6708039,-70.3245986
650 River Rd,,C,Existing,133760,30000,$6.50,Warehouse,Gardiner,77.57,1955,,133760,0.37,"21'0""",,9,Heavy,,City,2024 Tax @ $0.2842/sf,,30000,30000,4,Wet,City,50,44.1864120,-69.7562610
1705 Route 202 Hwy,,C,Existing,130000,35624,$9.50,Warehouse,Winthrop,72.60,1971,2022,130000,3.07,"17'0""",,6,4600a/240-480v 3p,,,2025 Tax @ $0.6377/sf,,35624,35624,None,Wet,,110,44.3042170,-69.9595800
90 Spencer Dr,,B,Existing,332836,243346,$7.95,Warehouse,Wells,100.00,1981,1999,200044,0.00,"40'0""",40'w x 40'd,16,480v,,Yes,2025 Tax @ $0.3346/sf,,243346,0,1,Wet,Yes,,43.3235818,-70.5994014
2 Alfred Rd,,C,Existing,212312,,$8.82 - 10.79 (Est.),Warehouse,Kennebunk,100.00,1969,,212312,,,,,,,,2024 Tax @ $1.0673/sf,,,0,,,,,43.4039969,-70.5657130
1 Bakers Way,FedEx,A,Existing,265126,,$8.45 - 10.32 (Est.),Warehouse,Biddeford,100.00,1998,,265126,1.27,"32'0""",,32,4000a/480v 3p,,,2025 Tax @ $0.9760/sf,,,0,"2/7'0""w x 9'0""h",Wet,,300,43.4736850,-70.4847580
953 Benton Ave,,B,Existing,112200,,$6.08 - 7.44 (Est.),Warehouse,Winslow,100.00,1996,,112200,0.29,"22'0""",,3,3p,,,,,,0,,,,33,44.5727530,-69.5980670
5 Bradley Dr,,B,Existing,126072,,$8.13 - 9.94 (Est.),Warehouse,Westbrook,100.00,1998,,126072,1.19,"31'0""",45'w x 55'd,15,3000a/600v 1p,,,,,,0,"1/8'0""w x 12'0""h",Wet,,170,43.6615161,-70.3652036
35 Canal St,,B,Existing,385000,,$5.57 - 6.81 (Est.),Warehouse,Lewiston,100.00,1912,,192500,,,,2,,,,2024 Tax @ $0.0134/sf,,,0,None,,,200,44.0967240,-70.2193000
241 College Ave,,B,Existing,426103,,$5.27 - 6.44 (Est.),Warehouse,Waterville,100.00,1916,,426103,0.18,,,9,,,,2025 Tax @ $0.1951/sf,,,0,None,,,75,44.5766341,-69.6102603
1 Cressey Rd,,C,Existing,186949,,$9.65 - 11.79 (Est.),Warehouse,Brunswick,100.00,1986,,186949,1.15,,,4,,,,2024 Tax @ $0.5321/sf,,,0,"1/8'0""w x 10'0""h",,,213,43.9177400,-69.9600830
20 Dalton Rd,,B,Existing,231884,,$6.04 - 7.38 (Est.),Warehouse,Augusta,100.00,1975,,115942,0.22,,,28,,,,2025 Tax @ $1.6656/sf,,,0,None,,,50,44.3636800,-69.7420700
33 Elm St,,C,Existing,146000,,$4.39 - 5.37 (Est.),Warehouse,Mechanic Falls,100.00,1890,,146000,,"20'0""",,5,Heavy,,,2025 Tax @ $0.0589/sf,,,0,"3/12'0""w x 12'0""h",,,75,44.1120500,-70.3896860
39 Hildreth St N,Marden's,C,Existing,104230,,$4.91 - 6.01 (Est.),Warehouse,Bangor,100.00,1956,2006,104230,0.96,"21'0""",,24,600a,,,2024 Tax @ $0.9041/sf,,,0,"1/8'0""w x 10'0""h",Wet,,100,44.7970297,-68.8361463
34 Hutcherson Dr,,B,Existing,106640,,$8.98 - 9.54 (Est.),Warehouse,Gorham,100.00,1999,,106640,0.56,"36'0""",,10,277-480v 3p,,Yes,,,,0,"1/12'0""w x 14'0""h",Wet,Yes,60,43.6809264,-70.3957973
55 Hutcherson Dr,,C,Existing,114232,,$8.72 - 9.28 (Est.),Warehouse,Gorham,100.00,1988,,114232,,"18'0""",,5,,,,2025 Tax @ $0.8199/sf,,,0,None,Yes,,50,43.6835233,-70.3949533
125 Industrial Way,,B,Existing,100600,,$9.33 - 11.40 (Est.),Distribution,Portland,100.00,1988,2008,100600,0.00,"28'0""",,8,1200a/277-420v 3p,,City,,,,0,,Wet,City,,43.7038938,-70.3151925
45 Industrial Park,,A,Existing,165000,,$9.00 - 10.99 (Est.),Warehouse,Saco,100.00,2023,,125000,1.09,"32'0""",,60,,,City,,,,0,None,Wet,,136,43.5245986,-70.4416270
71 Kennebec St,,B,Existing,145080,,$7.19 - 8.78 (Est.),Warehouse,Portland,100.00,,,72540,,,,11,,,,,,,0,None,,,,43.6613716,-70.2621882
15 Locust St,,C,Existing,100000,,$5.72 - 6.99 (Est.),Warehouse,Lewiston,100.00,,,25000,1.00,"14'0""",,6,600a/440v,,City,,,,0,"2/8'0""w x 10'0""h",Yes,City,100,44.0882300,-70.2134270
77 Logistics Ln,,C,Existing,132640,,$3.89 - 4.75 (Est.),Distribution,Hermon,100.00,1989,,66320,,"35'0""",,,,,,2024 Tax @ $0.6166/sf,,,0,,Dry,,,44.7840596,-68.8645697
54 Milliken St,,A,Existing,206165,,$6.72 - 8.22 (Est.),Warehouse,Portland,100.00,2013,,206165,1.07,"32'0""",,13,600a/480v,,City,,,,0,1,Wet,City,220,43.7067938,-70.3044875
8 Morin St,,B,Existing,124315,,$5.80 - 7.09 (Est.),Warehouse,Biddeford,100.00,1974,,124315,1.21,"32'0""",,3,3000a 3p,,,2025 Tax @ $0.5261/sf,,,0,"2/11'0""w x 10'0""h",Wet,,150,43.4699830,-70.4923540
