Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
7 Crow's Nest Circle Dr,,A,Existing,359309,142000,$12.50,Warehouse,Merrimack,60.48,2025,,359309,0.85,"36'0""",54'w x 48'd,96,6000a/480v 3p,,Yes,,,142000,142000,"8/12'0""w x 14'0""h",ESFR,Yes,334,42.8112235,-71.4782897
100 Factory St,,C,Existing,212003,35144,$4.95 - 12.00,Warehouse,Nashua,83.42,1900,1998,53001,0.47,"13'0""",,6,Heavy,,,2025 Tax @ $0.1339/sf,,35144,35144,None,Wet,,100,42.7598660,-71.4714770
1 Front St,Salmon Falls Mills,C,Existing,207535,10492,$10.00 - 20.00,Warehouse,Rollinsford,94.94,1848,,51883,0.37,,,,,,,2025 Tax @ $0.1997/sf,,10492,10492,,Wet,,200,43.2368615,-70.8181692
19-27 Terrill Park Dr,Capitol Crossing,C,Existing,214000,97185,$12.00,Warehouse,Concord,54.59,1977,,214000,0.57,"24'0""",25'w x 50'd,18,4400a 3p,,,2025 Tax @ $0.9773/sf,,97185,97185,4,Wet,,123,43.2009246,-71.5142265
425 Washington St,Claremont Center,C,Existing,229513,7500,$9.00,Warehouse,Claremont,96.73,1971,,75000,0.00,"28'0""",,4,,,Yes,2025 Tax @ $0.6513/sf,,7500,7500,1,Wet,Yes,,43.3601533,-72.3128737
7 Amarosa Dr,,B,Existing,210893,,$8.55 - 10.45 (Est.),Warehouse,Rochester,100.00,1981,1994,210893,2.80,"24'0""",,17,400-1600a/277-480v 3p 4w,,Septic Field,,,,0,"2/8'0""w x 10'0""h",Wet,City,590,43.3467394,-70.9764037
41 Ashleigh Dr,,A,Final Planning,370080,370080,Not Disclosed,Warehouse,Derry,0.00,2027,,370080,1.11,"40'0""",54'w x 50'd,60,6000a/277v 3p,,Yes,,,0,0,,ESFR,Yes,471,42.9049252,-71.3328190
1 Bon Terrain Dr,,B,Existing,425152,208520,$7.02 - 8.58 (Est.),Warehouse,Amherst,100.00,2004,,425152,0.59,"30'0""",40'w x 40'd,12,1200a/277-480v 3p,,Yes,2025 Tax @ $1.2653/sf,,0,0,"1/10'0""w x 12'0""h",Wet,Yes,250,42.8076563,-71.5875272
141 Burke St,,C,Existing,246360,,$8.14 - 9.95 (Est.),Warehouse,Nashua,100.00,1967,,123180,0.81,"29'3""",32'w,2,1500-5000a 3p,,City,2025 Tax @ $0.8137/sf,,,0,"18/10'0""w x 15'0""h",Yes,City,200,42.7494051,-71.4459288
10-12 Celina Ave,,C,Existing,321800,321800,$9.53 - 11.65 (Est.),Warehouse,Nashua,100.00,1979,1997,321800,0.90,"30'0""",,50,,Guilford Rail,City,2025 Tax @ $1.4574/sf,,321800,0,"1/10'0""w x 14'0""h",,City,290,42.7978540,-71.5396300
1 Cellu Dr,,C,Existing,228181,,$7.90 - 9.65 (Est.),Warehouse,Nashua,100.00,1974,,228181,0.44,"19'6""",,6,6000a/480v 3p,,,2025 Tax @ $0.9245/sf,,,0,"1/8'0""w x 10'0""h",Dry,,100,42.7966363,-71.5377713
36 Executive Dr,,C,Existing,312738,,$8.21 - 10.04 (Est.),Warehouse,Hudson,100.00,1985,,312738,0.22,"32'0""",40'w x 50'd,21,9999a/277-480v 3p,,City,2025 Tax @ $1.1830/sf,,,0,"2/16'0""w",ESFR,City,70,42.7384271,-71.4356514
510 Hall St,Capitol Distributors,C,Existing,226860,,$10.52 - 12.86 (Est.),Warehouse,Bow,100.00,1963,1999,226860,0.44,"19'0""",,9,,,,2025 Tax @ $0.1729/sf,,,0,3,,,100,43.1775040,-71.5267000
1070 Holt Ave,,A,Existing,235000,,$10.67 - 13.04 (Est.),Warehouse,Manchester,100.00,2006,,235000,,"33'0""",,20,,,,,,,0,5,Yes,,,42.9792615,-71.4018547
2 Howe Dr,,A,Existing,256208,,$9.12 - 11.14 (Est.),Warehouse,Amherst,100.00,2021,,232318,0.90,"36'0""",54'w x 50'd,56,2000a/480v 3p 4w,,Yes,2025 Tax @ $1.1791/sf,,,0,Yes,ESFR,Yes,210,42.8044184,-71.5707302
44 Industrial Dr,,B,Existing,302000,,$10.87 - 13.29 (Est.),Distribution,Londonderry,100.00,2015,,300000,,,,100,,,,2025 Tax @ $1.7792/sf,,,0,None,Yes,,,42.9116114,-71.4330595
115 Industrial Park Dr,,B,Existing,250000,,$7.57 - 9.26 (Est.),Warehouse,Dover,100.00,1970,,250000,,"22'0""",40'w x 40'd,6,800a/480v,,Yes,2024 Tax @ $0.2701/sf,,,0,"2/9'0""w x 10'0""h",Wet,Yes,,43.1862041,-70.9026901
150 Ocean Rd,,B,Existing,367166,,$11.27 - 13.77 (Est.),Distribution,Greenland,100.00,1980,1995,367166,0.89,"28'0""",,42,,,,2024 Tax @ $0.9594/sf,,,0,None,Wet,,330,43.0390352,-70.8166236
67 Primrose Dr,,B,Existing,200000,,$9.46 - 11.56 (Est.),Warehouse,Laconia,100.00,1980,,200000,,,,,,,,2025 Tax @ $0.4354/sf,,,0,,,,,43.5447415,-71.4927641
