Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
300 Jefferson St,,C,Existing,334085,96724,$7.00 - 8.75,Warehouse,Camden,73.63,1970,,334085,0.16,"35'0""",,10,,,,2025 Tax @ $0.4014/sf,,96724,88105,"20/9'0""w x 13'0""h",Dry,,55,39.9189469,-75.1250297
25 Colony Rd,Jersey City Distribution Center,A,Existing,340857,340857,$13.72 - 16.77 (Est.),Warehouse,Jersey City,0.00,2004,,340857,0.38,"36'0""",48'w x 58'd,48,4000a/270-480v 3p,,City,2024 Tax @ $2.1479/sf,,340857,340857,"4/12'0""w x 14'0""h",ESFR,City,128,40.6818400,-74.0839073
500 Supor Blvd,,B,Existing,437221,69137,$13.35 - 16.31 (Est.),Warehouse,Harrison,100.00,1997,2002,437221,0.13,"18'0""",,,2000a,,City,2024 Tax @ $1.1181/sf,,69137,0,4,Wet,City,59,40.7460447,-74.1465917
1775 Route 38,LogistiCenter at Lumberton,A,Existing,429200,429200,$9.18 - 11.22 (Est.),Warehouse,Lumberton,0.00,2024,,429200,0.45,"36'0""",54'w x 51'd,58,3000-4000a/480v,,Yes,,,429200,429200,"2/14'0""w x 16'0""h",ESFR,Yes,194,39.9772795,-74.7592383
95 Mayhill St,Saddle Brook Industrial Centre,B,Existing,430000,104000,$14.50 - 15.50,Distribution,Saddle Brook,75.81,1970,,430000,0.05,"30'0""",34'w x 40'd,6,400a/480v,,City,2024 Tax @ $2.4474/sf,,104000,104000,"1/10'0""w x 13'0""h",Wet,City,20,40.8992060,-74.0898755
328 S 2nd St,Harris Storage and Distribution,C,Existing,500000,133454,$7.50 - 45.00,Warehouse,Millville,87.20,1972,,500000,0.00,"24'0""",,50,,,,2024 Tax @ $0.0942/sf,,133454,64010,"6/10'0""w x 14'0""h",Dry,,,39.3882703,-75.0363570
35-95 8th St,,C,Existing,360000,68347,$7.50 - 13.00,Warehouse,Passaic,90.92,1925,,120000,0.00,"16'0""",,4,Heavy,,,2024 Tax @ $0.2335/sf,,68347,32684,"3/10'0""w x 13'0""h",,,,40.8571740,-74.1112850
625 Jersey Ave,,B,Existing,325000,99000,$12.00,Warehouse,New Brunswick,80.92,1945,,325000,0.68,"18'0""",25'w x 50'd,35,400a/480v,Conrail,City,,,99000,62000,2,Wet,City,221,40.4775381,-74.4761513
450 Murray Hill Pky,,C,Existing,376863,41832,$11.98 - 14.75,Warehouse,East Rutherford,96.01,1972,,188432,0.27,"15'0""",29'w x 40'd,5,200a/480v,,City,2024 Tax @ $1.4710/sf,,41832,15030,"2/12'0""w x 12'0""h",Wet,City,100,40.8175880,-74.0917204
501 Prospect St,Excel Business Park,B,Existing,311486,24478,$15.00,Warehouse,Lakewood,92.14,1960,,155743,1.00,"16'0""",,40,,,City,,,24478,24478,"12/10'0""w x 12'0""h",Yes,City,100,40.0733990,-74.2267000
1 Buckingham Ave,,C,Existing,407688,150000,$8.60 - 10.51 (Est.),Warehouse,Perth Amboy,60.24,1955,1991,135900,0.05,"18'0""",25'w x 48'd,34,2500a/277-480v 3p 4w,,City,2024 Tax @ $2.2201/sf,,150000,162105,1,Wet,City,20,40.5144200,-74.2602810
195 Carter Dr,,B,Existing,327330,105987,$12.72 - 15.54 (Est.),Warehouse,Edison,100.00,1988,,327330,0.23,"24'0""",40'w x 40'd,14,400-600a 3p,,City,2024 Tax @ $0.9366/sf,,0,0,"2/14'0""w x 16'0""h",Wet,City,75,40.5283750,-74.3977450
2100 Center Square Rd,,A,Existing,365760,193260,$9.49 - 11.59 (Est.),Distribution,Logan Township,47.16,2008,,365760,0.57,"32'0""",60'w x 60'd,96,2500a/277-480v,,Yes,2024 Tax @ $0.9678/sf,,193260,193260,"4/10'0""w x 13'0""h",ESFR,Yes,308,39.7689707,-75.3738066
908 Cranbury South River Rd,Monroe 8A Logistics Center II,A,Existing,409916,409916,$11.47 - 14.02 (Est.),Distribution,Monroe Township,0.00,2025,,409916,0.52,"36'0""",56'w x 48'd,53,3000a,,,,,409916,409916,"2/12'0""w x 14'0""h",ESFR,,285,40.3757009,-74.4562897
501 Crossroads Blvd,Building C/D,A,Existing,475488,475488,$9.28 - 11.34 (Est.),Warehouse,Logan Township,0.00,2023,,475488,0.55,"40'0""",50'w x 40'd,106,4000a/277-480v 3p,,Yes,2024 Tax @ $1.4973/sf,,475488,475488,4,ESFR,Yes,263,39.7909621,-75.3462215
395 Elizabeth Ave,Prologis Somerset,A,Existing,436960,237930,$13.79 - 16.85 (Est.),Distribution,Somerset,45.55,2026,,436960,0.98,"40'0""",,58,4000a/277-480v 3p,,,2024 Tax @ $0.0006/sf,,237930,237930,2,ESFR,,497,40.5384450,-74.5347116
145 Industrial Dr,Liberty Commerce Center,A,Existing,426275,426275,$13.59 - 16.61 (Est.),Warehouse,Jersey City,0.00,2025,,426275,0.52,"42'0""",,67,4000a/277-480v 3p,,,,,426275,426275,6,ESFR,,326,40.6827867,-74.0910762
128 Iron Mountain Rd,Spring Brook Commerce Center,A,Existing,393335,393335,$9.79 - 11.97 (Est.),Distribution,Mine Hill,0.00,2025,,393335,0.84,"42'0""",58'w x 48'd,60,3000a/277v 3p,,,,,393335,393335,2,ESFR,,370,40.8912404,-74.5988109
1735 Jersey Ave,,B,Existing,360000,12035,$5.19 - 6.35 (Est.),Warehouse,North Brunswick,96.66,1962,,360000,0.52,"24'0""",40'w x 40'd,24,2000a,,,2024 Tax @ $1.2496/sf,,12035,12035,"2/12'0""w x 14'0""h",ESFR,,186,40.4561290,-74.4894480
550 Meadowlands Pky,,B,Existing,304920,89970,$13.80 - 16.87 (Est.),Warehouse,Secaucus,70.49,1986,,152460,0.09,"26'0""",41'w x 44'd,13,200a,,City,2024 Tax @ $0.8998/sf,,89970,89970,None,Wet,City,28,40.7755501,-74.0848097
77-79 Metro Way,,C,Existing,422819,94761,$13.31 - 16.26 (Est.),Warehouse,Secaucus,77.59,1978,,422819,0.30,"27'0""",38'w x 47'd,35,1200-4000a/277-480v,,City,2024 Tax @ $1.6999/sf,,94761,94761,"2/10'0""w x 9'0""h",Wet,City,155,40.7706707,-74.0721361
100 Middlesex Ave,,B,Existing,416000,303000,$11.90 - 14.54 (Est.),Distribution,Carteret,,1989,,416000,0.07,"26'0""",30'w x 50'd,44,3500a/480v 3p 3w,,City,,,303000,100000,"8/12'0""w x 16'0""h",Wet,City,30,40.5704316,-74.2184783
150 Pacific Ave,,B,Existing,350295,153995,$8.85 - 10.82 (Est.),Warehouse,Jersey City,56.04,1930,,350295,0.10,"28'0""",50'w x 35'd,13,2000a,,City,,,153995,153995,5,Dry,City,35,40.7078645,-74.0660827
101 Port Lincoln Rd,Building 100,A,Existing,332640,332640,$13.66 - 16.69 (Est.),Distribution,Bayonne,0.00,2023,,332640,1.21,"36'0""",54'w x 55'd,66,3000a/277-480v 3p,,,,,332640,332640,2,,,403,40.6724455,-74.0941854
283 Prospect Plains Rd,,A,Existing,473148,255000,$12.43 - 15.20 (Est.),Distribution,Cranbury,46.11,2001,,473148,1.06,"36'0""",52'w x 50'd,66,2000a/277-480v,,,2024 Tax @ $0.6844/sf,,255000,255000,"3/12'0""w x 14'0""h",ESFR,,517,40.3291480,-74.4882760
169 Pulaski St,,B,Existing,433204,100000,$13.64 - 16.67 (Est.),Warehouse,Bayonne,100.00,1980,,433204,0.21,"26'0""",,28,1000a,,,2024 Tax @ $1.7821/sf,,100000,0,,Yes,,91,40.6788880,-74.0998082
100 Ridge Rd,Building 1,A,Existing,311040,39150,$12.17 - 14.87 (Est.),Distribution,Piscataway,100.00,2018,,311040,0.68,"36'0""",50'w x 50'd,42,2000a,Conrail,,2024 Tax @ $0.0815/sf,,0,0,2,ESFR,,274,40.5560517,-74.5159712
473 Ridge Rd,,A,Existing,318389,106080,$11.47 - 14.02 (Est.),Warehouse,South Brunswick,66.68,1981,1984,318389,1.25,"36'0""",54'w x 52'd,27,4800a/240-480v 3p,,Yes,2024 Tax @ $1.2427/sf,,106080,106080,8,Wet,Yes,400,40.3761969,-74.5280690
70 Sewell St,Route 55 Industrial Center,C,Existing,371326,30245,$6.19 - 7.56 (Est.),Warehouse,Glassboro,91.85,1961,2011,371326,0.87,"20'0""",47'w x 51'd,34,480v 3p,,City,2024 Tax @ $0.3340/sf,,30245,30245,"14/9'0""w x 13'0""h",Wet,City,347,39.6962390,-75.1217740
16 Herbert St,,C,Existing,304000,121000,$12.95 - 14.45,Warehouse,Newark,60.20,1954,,304000,0.16,"26'0""",,30,600a/480v,,City,2024 Tax @ $1.0446/sf,,121000,121000,"7/10'0""w x 13'0""h",Wet,City,50,40.7212516,-74.1416858
1500 Rahway Ave,,B,Existing,326741,12940,$15.00,Distribution,Avenel,96.04,1994,,326741,0.61,"29'6""",52'w x 44'd,37,2000a/277-480v 3p,,City,2024 Tax @ $0.0170/sf,,12940,12940,"1/10'0""w x 12'0""h",ESFR,City,261,40.5939942,-74.2654117
