Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
25 Colony Rd,Jersey City Distribution Center,A,Existing,340857,340857,$13.72 - 16.77 (Est.),Warehouse,Jersey City,0.00,2004,,340857,0.38,"36'0""",48'w x 58'd,48,4000a/270-480v 3p,,City,2024 Tax @ $2.1479/sf,,340857,340857,"4/12'0""w x 14'0""h",ESFR,City,128,40.6818400,-74.0839073
500 Supor Blvd,,B,Existing,437221,69137,$13.35 - 16.31 (Est.),Warehouse,Harrison,100.00,1997,2002,437221,0.13,"18'0""",,,2000a,,City,2024 Tax @ $1.1181/sf,,69137,0,4,Wet,City,59,40.7460447,-74.1465917
90 Dayton Ave,Building 3,B,Existing,230000,15857,$7.00 - 11.00,Warehouse,Passaic,93.11,1889,,100000,0.06,"16'0""",,1,,,,,,15857,37557,1,,,20,40.8722249,-74.1177952
400 Commerce Blvd,,B,Existing,246108,56040,$13.52 - 16.52 (Est.),Warehouse,Carlstadt,77.23,1985,,118808,1.00,"22'0""",48'w x 48'd,12,3000a,,City,,,56040,56040,1,Wet,City,247,40.8295007,-74.0509050
301 Island Rd,,B,Existing,212840,91092,$15.00,Warehouse,Mahwah,64.25,1964,2013,212840,1.61,"22'0""",30'w x 35'd,35,2400a/277-480v,Norfolk Southern,,2024 Tax @ $0.9697/sf,,76092,76092,1,Wet,,342,41.0815094,-74.1474828
33-00 47th Ave,Redstone Rocket Building,C,Existing,380000,71556,$16.00 - 18.00,Warehouse,Long Island City,81.17,1964,,109620,0.13,"12'0""",18'w x 18'd,2,Heavy,,,2024 Tax @ $2.6899/sf,,71556,71556,"13/8'0""w x 10'0""h",Wet,,50,40.7421250,-73.9323212
7001 Anpesil Dr,,B,Existing,210000,117291,$30.48,Warehouse,North Bergen,92.86,1976,,210000,0.25,"21'10""",40'w x 36'd,20,1200a 3p 3w,,City,2024 Tax @ $2.1188/sf,,117291,15000,2,Wet,City,52,40.8016450,-74.0238798
59-00 Decatur St,,C,Existing,200000,32080,$23.00 - 31.68,Warehouse,Ridgewood,86.46,1922,,43280,,"12'0""",,9,Heavy,,,2024 Tax @ $2.7904/sf,,27080,27080,None,Wet,,,40.6991146,-73.8965238
95 Mayhill St,Saddle Brook Industrial Centre,B,Existing,430000,104000,$14.50 - 15.50,Distribution,Saddle Brook,75.81,1970,,430000,0.05,"30'0""",34'w x 40'd,6,400a/480v,,City,2024 Tax @ $2.4474/sf,,104000,104000,"1/10'0""w x 13'0""h",Wet,City,20,40.8992060,-74.0898755
90 E 5th St,,C,Existing,244000,10000,$20.00,Warehouse,Bayonne,100.00,1901,,244000,,"65'0""",,11,,,City,2024 Tax @ $2.3243/sf,,10000,0,"1/10'0""w x 13'0""h",Wet,City,,40.6513182,-74.1219058
35-95 8th St,,C,Existing,360000,68347,$7.50 - 13.00,Warehouse,Passaic,90.92,1925,,120000,0.00,"16'0""",,4,Heavy,,,2024 Tax @ $0.2335/sf,,68347,32684,"3/10'0""w x 13'0""h",,,,40.8571740,-74.1112850
3199 Albany Post Rd,,B,Existing,242000,23806,$7.56 - 41.88,Warehouse,Buchanan,83.55,1970,,60500,0.78,"30'0""",,25,16000a 3p,,City,,,23806,39806,"8/8'0""w x 16'0""h",Dry,City,189,41.2649280,-73.9353076
