Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
956 E Erie Ave,Crown 95 Industrial Center,A,Existing,376950,343965,$4.95 - 6.25,Distribution,Philadelphia,8.75,2023,,376950,0.53,"36'0""",56'w x 54'd,42,4000a,,,,,343965,343965,1,ESFR,,303,40.0049040,-75.1116086
5000 Richmond St,Building 2,A,Existing,348210,348210,$6.94 - 8.48 (Est.),Distribution,Philadelphia,0.00,2025,,348210,0.00,"40'0""",50'w x 56'd,42,1500a/277-480v 3p,,,,,348210,348210,4,ESFR,,1,40.0044540,-75.0610242
6250 Baltimore Ave,Yeadon Industrial Center,B,Existing,454200,85372,$12.50,Warehouse,Yeadon,82.87,1955,1981,227100,10.00,"26'0""",25'w x 50'd,112,Heavy,,City,2024 Tax @ $2.3210/sf,,77826,77826,"5/10'0""w x 14'0""h",,City,134,39.9412380,-75.2492888
201 Center St,,B,Existing,315000,315000,$6.75,Warehouse,Hanover,100.00,1995,,315000,0.32,"24'0""",25'w x 50'd,35,Heavy,CSX,,2025 Tax @ $0.4839/sf,,315000,0,2,Wet,,102,39.8053714,-76.9639009
1010 Franklin Dr,Franklin Commercial Park,B,Existing,374500,17800,$6.95,Warehouse,Smock,95.25,1998,,374500,0.00,"18'0""",30'w x 50'd,7,240v 3p 4w,,,2025 Tax @ $0.0877/sf,,17800,17800,1,,,,39.9609938,-79.7477520
5660 Rising Sun Ave,,B,Existing,426335,115076,$6.50,Warehouse,Philadelphia,73.01,1955,,426335,1.08,"23'0""",,40,13000a 3p,,,,,115076,261722,,Wet,,461,40.0388295,-75.1123069
11200 Roosevelt Blvd,,B,Existing,447376,97591,$7.50,Warehouse,Philadelphia,100.00,1960,,447376,0.42,"24'0""",30'w x 40'd,22,277-480a/120-208v,,City,2024 Tax @ $0.5474/sf,,97591,0,"4/16'0""w x 14'0""h",Dry,City,235,40.1036089,-75.0118354
200 Solar Dr,,A,Existing,315634,167176,$4.50 - 8.95,Distribution,Imperial,100.00,2016,,315634,0.48,"32'0""",50'w x 52'd,40,1000a/277-480v 3p,,,2024 Tax @ $1.1418/sf,,83583,0,"4/12'0""w x 14'0""h",,,190,40.4431826,-80.3006953
330-339 S Warminster Rd,Station Park,A,Existing,412454,265592,$12.00,Warehouse,Hatboro,70.58,1963,2014,209523,2.98,"40'0""",,13,4000a/480v 3p,,,2024 Tax @ $1.3437/sf,,265592,121353,4,Wet,,1249,40.1723400,-75.1012960
1260 E Woodland Ave,,A,Existing,490000,1914,$9.00,Warehouse,Springfield Township,100.00,1942,,245000,5.00,"40'0""",,7,3p,,City,2024 Tax @ $0.7414/sf,,1914,0,None,Yes,City,385,39.9094088,-75.3307431
1400 Aip Dr,,A,Existing,349225,166255,$6.77 - 8.28 (Est.),Warehouse,Middletown,52.39,2004,,349225,0.95,"31'0""",60'w x 50'd,40,800a/277-480v 3p,,,2025 Tax @ $1.1753/sf,,166255,166255,2,ESFR,,439,40.2367131,-76.7479367
1003-1011 Airbrake Ave,TRC Property,B,Existing,303655,50000,$6.82 - 8.33 (Est.),Distribution,Wilmerding,83.53,1970,,155460,0.40,"23'0""",,18,400a/480v,,City,2024 Tax @ $0.3997/sf,,50000,50000,"10/10'0""w x 14'0""h",Wet,City,100,40.3962896,-79.8124405
891 Beaver Dr,,C,Existing,410000,410000,$5.57 - 6.81 (Est.),Warehouse,Dubois,0.00,1962,1980,410000,0.84,"26'0""",35'w x 38'd,59,2400a/277-480v 3p,,,2025 Tax @ $0.5751/sf,,410000,410000,Yes,Wet,,347,41.1222279,-78.7328311
1109 Bern Rd,,C,Existing,315075,175000,$8.95 - 10.94 (Est.),Warehouse,Wyomissing,100.00,1920,,315075,,"26'0""",,2,,,City,2025 Tax @ $0.0954/sf,,175000,0,4,,City,,40.3361830,-75.9613972
325 Buffalo St,,C,Existing,452157,246260,$8.19 - 10.01 (Est.),Warehouse,Franklin,45.54,1970,2023,452157,1.14,"44'0""",,7,120-416v 3p,,Yes,2025 Tax @ $0.2623/sf,,246260,452157,10,Wet,Yes,525,41.3821149,-79.8240259
116 Cameron St,,A,Existing,392040,182831,$7.34 - 8.97 (Est.),Distribution,Elizabethtown,53.36,2024,,392040,0.67,"36'0""",58'w x 50'd,50,6000a,,,,,182831,182831,"2/12'0""w x 14'0""h",ESFR,,343,40.1267878,-76.5726538
105 Commerce Dr,,A,Existing,375000,163178,$10.24 - 12.52 (Est.),Warehouse,Aston,100.00,1982,,375000,0.67,"28'0""",43'w x 42'd,42,2500a/277-480v 3p 4w,CSX,City,2024 Tax @ $1.2231/sf,,163178,0,,Wet,City,244,39.8463155,-75.4077508
125 Crossroads Blvd S,,A,Under Construction,450000,450000,$7.05 - 8.62 (Est.),Distribution,Hazleton,0.00,2026,,450000,0.64,"38'2""",50'w x 50'd,54,4000a/277-480v 3p,,Yes,,,450000,0,2,Yes,Yes,290,40.9276722,-75.9960291
1090 E Boundary Ave,LogistiCenter at I-83,A,Existing,342720,342720,$6.38 - 7.80 (Est.),Distribution,York,0.00,2024,,342720,0.82,"36'0""",56'w x 60'd,48,3000a,,,2025 Tax @ $0.0919/sf,,342720,342720,"2/14'0""w x 16'0""h",,,369,39.9588018,-76.7040068
295 Exploration Dr,,A,Final Planning,356500,356500,Not Disclosed,Distribution,Hazle Township,0.00,2027,,356500,0.59,"38'10""",50'w x 50'd,46,4000a/277-480v 3p,,Yes,,,0,0,"2/12'0""w x 14'0""h",ESFR,Yes,210,40.9316802,-76.0119255
800 W Front St,Bldg B,C,Existing,385000,385000,$4.95 - 6.05 (Est.),Warehouse,Chester,0.00,1996,,385000,,"28'0""",86'w x 45'd,1,480v 3p,Conrail,City,2024 Tax @ $0.2450/sf,,385000,385000,3,Yes,City,,39.8389323,-75.3683119
2201 Green Ln,,A,Existing,361151,57500,$9.10 - 11.12 (Est.),Warehouse,Levittown,84.08,1940,2004,361151,0.80,"26'0""",25'w x 40'd,35,Heavy,,City,,,57500,150812,"4/12'0""w x 14'0""h",Wet,City,300,40.1270765,-74.8506735
68 Green Mountain Rd,Northeast Distribution Center,A,Existing,400260,200130,$6.44 - 7.87 (Est.),Warehouse,Hazleton,50.00,2006,,400260,0.50,"32'0""",50'w x 50'd,84,2000a/277-480v 3p 4w,,Yes,2026 Tax @ $2.6278/sf,,200130,200130,"4/12'0""w x 14'0""h",Yes,Yes,201,40.9139747,-76.0965513
500 Independence Ave,,A,Existing,342500,342500,$7.35 - 8.99 (Est.),Distribution,Mechanicsburg,100.00,2007,,342500,0.55,"34'2""",52'w x 48'd,50,2000a/277-480v 3p,,,2025 Tax @ $0.8456/sf,,342500,0,"2/12'0""w x 14'0""h",ESFR,,273,40.2020147,-76.9763822
215 Innovation Dr N,,A,Final Planning,310000,310000,Not Disclosed,Distribution,Hazle Township,0.00,2027,,310000,0.63,"38'10""",50'w x 50'd,38,4000a 3p,,Yes,,,0,0,"2/12'0""w x 14'0""h",ESFR,Yes,196,40.9274821,-76.0010508
1 Jackson St,,C,Existing,367363,363170,$4.06 - 4.96 (Est.),Warehouse,Wellsboro,0.00,1886,2014,183682,0.22,"24'0""",,12,,,City,2025 Tax @ $0.0305/sf,,363170,367363,2,Dry,City,80,41.7484061,-77.2847598
100 Keystone Industrial Park,,A,Existing,342476,100200,$5.37 - 6.56 (Est.),Distribution,Dunmore,70.74,1975,2024,342476,0.88,"30'0""",37'w x 60'd,11,1600a/277-480v 3p,,,2025 Tax @ $0.5926/sf,,100200,100200,2,Wet,,365,41.4340448,-75.6150331
1139 Lehigh Ave,,A,Existing,423900,22018,$5.52 - 6.75 (Est.),Warehouse,Whitehall,94.81,1910,2006,211950,,"45'0""",,31,,,City,,,22018,22018,23,Dry,City,,40.6429300,-75.4670000
1062 MacArthur Rd,,B,Existing,367600,367600,$6.31 - 7.71 (Est.),Warehouse,Reading,0.00,1984,,367600,0.53,"22'5""",45'w x 30'd,14,2500a/110-480v 3p,,City,2025 Tax @ $0.0150/sf,,367600,367600,"1/14'0""w",Wet,City,186,40.3791424,-75.9792759
