Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
340 Waterman Ave,,B,Existing,435369,327735,$6.00 - 7.00,Warehouse,Smithfield,24.72,1906,,52510,,,,11,,,,2025 Tax @ $0.1301/sf,,327735,327735,1,Wet,,,41.8763391,-71.5004198
338 Compass Cir,West Davisville Commons,B,Existing,400000,50000,$9.50,Warehouse,North Kingstown,87.50,1950,,400000,0.10,"16'0""",,6,200-400a/208v,,City,2025 Tax @ $0.3296/sf,,50000,50000,"18/10'0""w x 13'0""h",Dry,City,40,41.6039234,-71.4768468
582 Great Rd,,B,Existing,490000,163000,$3.75 - 10.00,Warehouse,North Smithfield,90.82,1900,,163333,0.78,"13'0""",,6,3000a/208-600v 3p,,City,,,45000,45000,"16/8'0""w x 8'0""h",Wet,City,380,41.9965214,-71.5498534
1372 Main St,,B,Existing,141802,67712,$8.95 - 12.00,Warehouse,Coventry,52.25,1980,,141802,1.16,"17'0""",,10,2000a/480v 3p,,Yes,2025 Tax @ $0.6546/sf,,67712,67712,,Wet,Yes,164,41.6945301,-71.5754443
565 N Main St,,C,Existing,105935,57000,$5.00,Warehouse,Woonsocket,0.00,1918,,35312,0.00,,,1,,,,,,57000,105935,None,Wet,,,42.0131390,-71.5132061
10 New Rd,,B,Existing,341364,50000,$6.50,Warehouse,Rumford,100.00,1958,,339952,1.47,"22'0""",40'w x 30'd,32,300-1600a/120-480v 3p,,,2025 Tax @ $0.7779/sf,,0,0,"1/11'0""w x 14'0""h",Wet,,500,41.8566076,-71.3612655
1033 Broad St,,C,Existing,261500,10345,$8.29 - 10.14 (Est.),Warehouse,Central Falls,96.04,1900,,65000,0.49,,,8,,,,2025 Tax @ $0.0036/sf,,10345,10345,,,,129,41.8940370,-71.3868970
100 Maple Ridge Dr,,B,Existing,150351,150351,$8.20 - 10.02 (Est.),Distribution,Cumberland,100.00,2001,,150351,0.53,"23'3""",39'w x 45'd,10,2000a/480v 3p,,,2025 Tax @ $0.9495/sf,,150351,0,"1/9'0""w x 10'0""h",Wet,Yes,80,42.0012170,-71.4633920
342 Compass Cir,,C,Existing,200000,10000,$8.82,Warehouse,North Kingstown,100.00,1950,,200000,0.20,"16'0""",25'w x 25'd,6,400a/208-480v,,City,2025 Tax @ $0.3296/sf,,0,0,"18/10'0""w x 14'0""h",Dry,City,40,41.6035450,-71.4777440
25 Almeida Ave,,B,Existing,116520,,$5.48 - 6.69 (Est.),Warehouse,East Providence,100.00,1980,,116520,10.00,"20'0""",47'w x 38'd,9,277-480v 3p,,,2025 Tax @ $0.8213/sf,,,0,2,Yes,,90,41.8155868,-71.3446136
329 Barton St,,C,Existing,186566,,$7.63 - 9.32 (Est.),Warehouse,Pawtucket,100.00,1900,,98193,0.34,,,4,,,,2025 Tax @ $0.0134/sf,,,0,,,,64,41.8802727,-71.3935568
335 Barton St,,C,Existing,120000,,$8.11 - 9.23 (Est.),Warehouse,Pawtucket,100.00,1900,,19951,,,,3,,,,2025 Tax @ $0.0717/sf,,,0,"1/10'0""w x 10'0""h",,,3,41.8791815,-71.3934300
55 Broadcommon Rd,55 Broadcommon Building,C,Existing,119100,,$9.54 - 11.66 (Est.),Warehouse,Bristol,100.00,2006,,119100,,,,6,,,,2025 Tax @ $0.6566/sf,,,0,1,,,,41.6988250,-71.2724844
19 Business Park Dr,,B,Existing,281232,,$7.52 - 9.19 (Est.),Distribution,Smithfield,100.00,2006,,281232,0.71,,,40,,,,2025 Tax @ $0.6166/sf,,,0,,,,200,41.9241120,-71.4948069
360 Callahan Rd,,C,Existing,466871,,$8.32 - 10.17 (Est.),Distribution,North Kingstown,100.00,1940,2002,466871,,"35'0""",,45,480v 3p,,City,2025 Tax @ $0.7238/sf,,,0,2,Wet,City,175,41.6008291,-71.4377044
500 Callahan Rd,,C,Existing,175000,,$6.43 - 7.86 (Est.),Warehouse,North Kingstown,100.00,1940,,175000,0.00,"20'0""",,10,1600a/480v 3p,,,2025 Tax @ $0.4825/sf,,,0,5,,,,41.6003317,-71.4337048
600 Callahan Rd,,C,Existing,122906,,$8.37 - 10.23 (Est.),Warehouse,North Kingstown,100.00,2001,,122906,0.27,"25'0""",,14,,,,2025 Tax @ $0.9654/sf,,,0,None,Wet,,32,41.6002368,-71.4304623
25 Carrington St,,C,Existing,116702,,$7.37 - 9.01 (Est.),Warehouse,Lincoln,100.00,1900,,38901,,,,4,Heavy,,,2024 Tax @ $0.0512/sf,,,0,None,Yes,,,41.9100692,-71.4053812
2-24 Corliss St,United States Postal Service,B,Existing,366160,,$8.57 - 10.48 (Est.),Distribution,Providence,100.00,1960,,366160,1.71,,,64,,,,,,,0,"4/10'0""w x 10'0""h",,,380,41.8404600,-71.4141600
60 Delta Dr,,C,Existing,321368,,$6.68 - 8.16 (Est.),Warehouse,Pawtucket,100.00,1963,,321368,0.89,,,25,,,Yes,2025 Tax @ $0.5773/sf,,,0,1,Wet,Yes,285,41.8760050,-71.3656920
25 Durfee St,Bldg 319,B,Existing,125053,,$7.13 - 8.72 (Est.),Warehouse,North Kingstown,100.00,1957,,125053,,"26'0""",20-66'w x 20-75'd,6,1200a/120-208v 3p,,,,,,0,3,Dry,,,41.6123438,-71.4176622
85 Durfee St,Bldg #318,B,Existing,120000,,$6.30 - 7.70 (Est.),Warehouse,North Kingstown,100.00,1953,,120000,,"27'0""",66'w x 75'd,6,600a/120-208v,,,,,,0,3,Dry,,,41.6130350,-71.4164453
25 Fairmount Ave,,B,Existing,107870,,$5.51 - 6.74 (Est.),Warehouse,East Providence,0.00,1969,,107870,2.35,"24'0""",,6,1200a/277-480v 3p,,Yes,2025 Tax @ $1.3789/sf,,,107870,"1/8'0""w x 9'0""h",Wet,Yes,254,41.8131150,-71.3544585
30 Fields Point Dr,,C,Existing,164760,,$8.57 - 10.48 (Est.),Distribution,Providence,100.00,1970,,164760,,,,,,,,2024 Tax @ $1.0109/sf,,,0,,,,,41.7899610,-71.3870834
1650 Flat River Rd,,C,Existing,220199,,$8.34 - 10.19 (Est.),Warehouse,Coventry,100.00,1985,,220199,0.18,,,7,,,,2025 Tax @ $0.4908/sf,,,0,"4/10'0""w x 12'0""h",,,28,41.6992660,-71.5890620
400 Founders Dr,,C,Existing,403844,,$8.20 - 10.02 (Est.),Distribution,Woonsocket,100.00,1984,,403844,0.09,"24'0""",,68,,,,,,,0,,Wet,,35,41.9913620,-71.4890370
29 Green Earth Way,FedEx Ground Facility,A,Existing,144187,,$9.08 - 11.10 (Est.),Distribution,Johnston,100.00,2008,,144187,,"35'0""",,,,,Yes,2025 Tax @ $2.1843/sf,,,0,,,Yes,,41.7968960,-71.5148381
100 Higginson Ave,Collyer Business Center,C,Existing,475344,,$6.00 - 7.34 (Est.),Distribution,Lincoln,100.00,1962,2002,475344,1.88,"16'0""",30'w x 40'd,30,,,City,2025 Tax @ $0.5525/sf,,,0,1,Wet,City,880,41.8871673,-71.4094908
