Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
1012 North Campus Pky,Hampton Logistics Center - Building 1,A,Existing,230874,230874,$10.17 - 12.42 (Est.),Distribution,Hampton,0.00,2025,,230874,,"36'0""",52'w x 52'd,46,,,Yes,2025 Tax @ $0.0740/sf,,230874,230874,,ESFR,Yes,,37.0750784,-76.3992598
7701 Southern Dr,,B,Existing,253648,14500,$30.60,Warehouse,Springfield,94.28,1980,,253648,0.59,"12'0""",30'w x 40'd,17,120-208v,CSX,,2024 Tax @ $2.1358/sf,,14500,14500,"2/14'0""w",Wet,,150,38.7925720,-77.2084420
802 Kyle Ave,Westport Axle,C,Existing,210822,210822,$5.25,Warehouse,Roanoke,0.00,1955,1995,201964,0.25,"30'0""",52'w x 20'd,16,1200a/480v 3p,Norfolk Southern,,2026 Tax @ $0.3183/sf,,210822,210822,"3/10'0""w x 12'0""h",Wet,,50,37.2909782,-79.9269101
2700 Deepwater Terminal Rd,Cockrell Distribution Systems,B,Existing,332000,105000,$6.50,Warehouse,Richmond,68.37,1961,,332000,0.15,"24'0""",,14,,CSX,,2025 Tax @ $0.1555/sf,,105000,105000,None,Dry,,17,37.4877851,-77.4308020
3321 E Princess Anne Rd,,B,Existing,294657,39588,$9.95,Warehouse,Norfolk,86.56,1959,2022,294657,0.51,"36'0""",38'w x 36'd,31,2000a/480v,,,2024 Tax @ $0.6337/sf,,39588,39588,5,Wet,,150,36.8601880,-76.2459230
1180 Seminole Trl,Seminole Place,B,Existing,455000,13440,$17.26,Warehouse,Charlottesville,98.77,1983,2006,455000,2.00,"24'0""",,5,120-240a/277-480v,,Yes,2024 Tax @ $0.5230/sf,,5600,5600,"1/12'0""w x 9'0""h",Wet,Yes,1000,38.0698367,-78.4874040
14140 N Washington Hwy,,B,Existing,240200,56500,$6.75,Distribution,Ashland,76.48,1980,,240200,0.72,"32'0""",,75,2500a/480v 3p,,Yes,2025 Tax @ $0.3108/sf,,56500,56500,1,Wet,Yes,174,37.7915467,-77.4669760
728 Wertz Rd,Halmode Building,C,Existing,251500,44000,$1.80,Warehouse,Roanoke,82.50,1962,,251500,0.12,"18'0""",,7,,,City,2026 Tax @ $0.1594/sf,,44000,44000,None,Wet,City,30,37.3018264,-79.9271515
756 S West St,National Warehouse,C,Existing,426000,10000,$4.00 - 5.00,Warehouse,Petersburg,97.65,1968,,426000,0.35,"20'0""",25'w,48,200a/240v,,City,,,10000,10000,"12/10'0""w x 10'0""h",Dry,City,150,37.2151880,-77.4197030
7021 Wolftown-Hood Rd,,B,Existing,385000,210000,$6.75,Warehouse,Madison,45.45,1995,,192500,0.91,"32'0""",,18,2000a/480v 3p,,,2025 Tax @ $0.2606/sf,,210000,210000,3,ESFR,,350,38.3504114,-78.2897823
