Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
4200 1st Ave,,B,Existing,140000,31614,$8.50 - 9.00,Distribution,Nitro,77.42,1980,,140000,2.00,"20'0""",,6,3p,,Yes,2025 Tax @ $0.1292/sf,,31614,31614,"6/10'0""w x 12'0""h",Dry,Yes,40,38.4459371,-81.8317355
1211 Afg Rd,"Taylor Warehouse Services, LLC",A,Existing,482250,482250,$4.50,Warehouse,Bridgeport,0.00,1979,1995,482250,0.21,"31'3""",25'w x 50'd,9,120-480v 3p,,,2025 Tax @ $0.1033/sf,,482250,482250,"8/12'0""w x 21'0""h",Wet,,100,39.2862716,-80.1820398
927 Barlow Dr,Young's Industrial Park Building 4,B,Existing,100000,9163,$7.00,Warehouse,Charleston,90.84,2003,,100000,0.05,"20'0""",,2,Heavy,,City,2025 Tax @ $0.1842/sf,,9163,9163,"26/12'0""w x 14'0""h",None,City,5,38.3644046,-81.6095467
3901 Camden Ave,,C,Existing,241000,150000,$2.75,Warehouse,Parkersburg,37.76,1972,2011,241000,0.21,"22'0""",24'w,7,500a/480v,,Yes,2025 Tax @ $0.0019/sf,,150000,150000,"2/12'0""w x 12'0""h",Wet,Yes,50,39.2445727,-81.5285797
64 Waterway Dr,,B,Existing,100000,100000,$6.50,Distribution,Poca,100.00,1970,,50000,0.41,,,7,Heavy,,,2025 Tax @ $0.2182/sf,,100000,0,Yes,,,48,38.4927400,-81.8341400
1 West Fork St,Harrison Warehouse,C,Existing,185432,185432,$5.00,Warehouse,Clarksburg,0.00,1980,,185432,,,25'w,8,100v 3p,,City,2025 Tax @ $0.0393/sf,,185432,185432,7,Dry,City,,39.2983209,-80.3550101
2601 Madison Ave,,B,Existing,220000,220000,$8.46 - 10.34 (Est.),Warehouse,Point Pleasant,0.00,1960,,220000,0.14,"13'0""",,24,480a 3p,,Yes,2025 Tax @ $0.2409/sf,,220000,220000,3,,Yes,30,38.8728369,-82.1341812
748 McMechen St,,B,Existing,182441,78000,$5.05 - 6.18 (Est.),Warehouse,Benwood,57.25,1940,,173319,,"32'0""",,,,,,2025 Tax @ $0.0664/sf,,78000,78000,1,,,,40.0136528,-80.7358973
4903 Winchester Ave,Building A,A,Existing,365400,365400,$7.47 - 9.13 (Est.),Warehouse,Martinsburg,0.00,2023,,365400,1.57,"40'0""",56'w x 52'd,90,4000a/277-480v 3p,,,2025 Tax @ $0.7743/sf,,365400,365400,"4/12'0""w x 14'0""h",ESFR,,574,39.3919046,-78.0055224
138-150 57th St SE,,B,Existing,201000,37655,$8.50,Warehouse,Charleston,81.27,1985,,201000,5.97,"24'0""",30'w x 50'd,20,Heavy,,Yes,2024 Tax @ $0.4833/sf,,37655,37655,"2/12'0""w x 14'0""h",Dry,Yes,1200,38.3155128,-81.5656371
1330 6th St,,C,Existing,128155,,$7.92 - 9.69 (Est.),Warehouse,Charleston,100.00,,,33725,,,,3,,,,2025 Tax @ $0.0686/sf,,,0,"7/12'0""w x 12'0""h",,,40,38.3677206,-81.6584158
N 8th & Hazlett Ave,,C,Existing,240000,,$1.33 - 1.62 (Est.),Warehouse,Wheeling,100.00,1957,2010,80000,0.63,"22'0""",,2,,,,2025 Tax @ $0.0662/sf,,,0,1,Dry,,150,40.1100500,-80.7013013
120 W 19th St,,C,Existing,116304,,$7.41 - 9.05 (Est.),Warehouse,Nitro,100.00,,,62777,0.34,,,10,,,,2024 Tax @ $0.1579/sf,,,0,None,,,40,38.4228990,-81.8438880
325 W 19th St,,C,Existing,137074,,$7.69 - 9.40 (Est.),Distribution,Nitro,100.00,,,137074,0.29,,,8,,,,2025 Tax @ $0.3701/sf,,,0,"1/10'0""w x 12'0""h",,,40,38.4301777,-81.8457589
9 27th St,Liggett & Myers Tobacco Co.,C,Existing,294716,,$6.38 - 7.80 (Est.),Warehouse,Huntington,100.00,1917,,79539,,,,2,,,,2025 Tax @ $0.1076/sf,,,0,2,,,30,38.4340216,-82.4090101
550 27th St,,B,Existing,365800,,$3.26 - 3.99 (Est.),Warehouse,Huntington,100.00,1959,,365800,0.39,"16'8""",,22,3p,,City,2025 Tax @ $0.2297/sf,,,0,3,Wet,City,30,38.4252197,-82.4034923
213 60th St,,C,Existing,148284,,$10.73 - 13.12 (Est.),Warehouse,Vienna,100.00,1945,,148284,0.13,,,,,,,2025 Tax @ $0.0328/sf,,,0,"1/10'0""w x 12'0""h",,,20,39.3483829,-81.5383387
180 Airport Industrial Park,,A,Existing,125500,,$10.54 - 12.89 (Est.),Warehouse,Parkersburg,100.00,1975,,123000,,"21'0""",25'w x 50'd,22,240-480v 3p,,City,,,,0,"4/10'0""w x 12'0""h",Yes,City,,39.3411762,-81.4466570
