property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
1100 Buckingham St,1100 Buckingham St,B,Existing,325000,34000.0,$6.95 - 7.95,Warehouse,Watertown,100.0,1970.0,2000.0,325000.0,0.43,"19'0""",,7.0,1200a/480v 3p,,,2025 Tax @ $0.9122/sf,,0.0,0,,Yes,,140.0,41.6160695,-73.0960454,CT,CT.csv,1,T4-CT-00001,existing,True,False,direct_existing_facility,34000.0,True,True,True,True,1100 Buckingham St,True,09140,Naugatuck Valley,CT,40,12086.528704316876,CT
18 Craftsman Rd,,B,Existing,279256,279256.0,$5.50,Warehouse,East Windsor,100.0,1979.0,2021.0,279256.0,1.07,"20'0""",40'w x 35'd,9.0,800-6000a/277-480v 3p,,,2025 Tax @ $1.5346/sf,,0.0,0,"3/10'0""w x 12'0""h",Wet,,300.0,41.9175638,-72.5904117,CT,CT.csv,2,T4-CT-00002,existing,True,False,direct_existing_facility,279256.0,True,True,True,True,"18 Craftsman Rd, East Windsor, CT",True,09110,Capitol,CT,39,28591.130644048382,CT
59 Field St,Building C,C,Existing,239444,204652.0,$8.00 - 10.50,Warehouse,Torrington,14.53,1916.0,,79815.0,2.09,"10'0""",,,,,,2025 Tax @ $0.2842/sf,,204652.0,204652,,,,500.0,41.8067472,-73.1261358,CT,CT.csv,3,T4-CT-00003,existing,True,False,direct_existing_facility,204652.0,True,True,True,True,Building C,True,09160,Northwest Hills,CT,0,3975.208712055827,CT
730 N Main St,,C,Existing,350199,50800.0,$5.95,Warehouse,Waterbury,85.49,1890.0,,350000.0,0.45,"27'6""",,2.0,600-1600a 3p,,City,2024 Tax @ $0.1321/sf,,50800.0,50800,4,Wet,City,159.0,41.5630125,-73.0310594,CT,CT.csv,4,T4-CT-00004,existing,True,False,direct_existing_facility,50800.0,True,True,True,True,"730 N Main St, Waterbury, CT",True,09140,Naugatuck Valley,CT,40,12086.528704316876,CT
53 Manning Rd,,C,Existing,362568,227783.0,$4.00 - 5.00,Warehouse,Enfield,37.18,1962.0,,181284.0,0.46,"14'9""",25'w x 25'd,24.0,800-2500a/208-480v 3p,,City,2024 Tax @ $0.4830/sf,,227783.0,227783,2,Wet,City,166.0,42.018142,-72.598432,CT,CT.csv,5,T4-CT-00005,existing,True,False,direct_existing_facility,227783.0,True,True,True,True,"53 Manning Rd, Enfield, CT",True,09110,Capitol,CT,39,28591.130644048382,CT
125 Old Gate Ln,Old Gate Business Park,B,Existing,350000,60004.0,$8.00 - 13.00,Distribution,Milford,82.86,1970.0,2004.0,270000.0,1.21,"24'0""",25'w x 40'd,14.0,Heavy,,City,,,60004.0,60004,2,Wet,City,424.0,41.2287967,-73.0297337,CT,CT.csv,6,T4-CT-00006,existing,True,False,direct_existing_facility,60004.0,True,True,True,True,Old Gate Business Park,True,09170,South Central Connecticut,CT,40,16697.35913819854,CT
550 Research Pky,,B,Existing,326751,526751.0,$6.00,Warehouse,Meriden,0.0,1969.0,2006.0,326751.0,0.94,"18'0""",35'w x 40'd,41.0,3000a/277-480v 3p,,City,2024 Tax @ $0.8981/sf,,326751.0,326751,"3/10'0""w x 12'0""h",Wet,City,190.0,41.512589,-72.764691,CT,CT.csv,7,T4-CT-00007,existing,True,False,direct_existing_facility,526751.0,True,True,True,True,"550 Research Pky, Meriden, CT",True,09170,South Central Connecticut,CT,40,16697.35913819854,CT
640 N Washington Ave,,C,Existing,275301,36000.0,$8.00,Warehouse,Bridgeport,86.92,1940.0,,89000.0,0.84,"35'0""",,8.0,800a/277-480v 3p,,,2025 Tax @ $0.3091/sf,,36000.0,36000,1,Wet,,75.0,41.1925094,-73.1908148,CT,CT.csv,8,T4-CT-00008,existing,True,False,direct_existing_facility,36000.0,True,True,True,True,"640 N Washington Ave, Bridgeport, CT",True,09120,Greater Bridgeport,CT,0,8133.226935947203,CT
30 Forbes Rd,,B,Existing,460000,460000.0,$5.70 - 6.97 (Est.),Distribution,Dayville,100.0,1989.0,,460000.0,0.43,"26'0""",40'w x 45'd,56.0,4600a/277-480v 3p,,,2025 Tax @ $0.7153/sf,,0.0,0,2,Wet,,200.0,41.8595765,-71.9077145,CT,CT.csv,9,T4-CT-00009,existing,True,False,direct_existing_facility,460000.0,True,True,True,True,"30 Forbes Rd, Dayville, CT",True,09150,Northeastern Connecticut,CT,40,4185.534118524314,CT
137 Lathrop Rd,,A,Existing,202044,,$5.70 - 6.97 (Est.),Distribution,Plainfield,100.0,2022.0,,202044.0,0.37,"36'0""",,134.0,,,,,,,0,,Wet,,825.0,41.6592201,-71.9122951,CT,CT.csv,11,T4-CT-00011,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"137 Lathrop Rd, Plainfield, CT",False,09150,Northeastern Connecticut,CT,40,4185.534118524314,CT
383 Middle St,,B,Existing,322840,250000.0,$9.26 - 11.32 (Est.),Warehouse,Bristol,22.56,1960.0,2004.0,322840.0,3.63,"15'0""",35'w x 35'd,3.0,Heavy,,,2025 Tax @ $0.0141/sf,,250000.0,250000,2,Wet,,1171.0,41.659242,-72.914111,CT,CT.csv,12,T4-CT-00012,existing,True,False,direct_existing_facility,250000.0,True,True,True,True,"383 Middle St, Bristol, CT",True,09140,Naugatuck Valley,CT,40,12086.528704316876,CT
219-239 W Service Rd,,B,Existing,425294,,$6.38 - 7.80 (Est.),Warehouse,Hartford,100.0,1967.0,2009.0,424627.0,0.37,"36'0""",,16.0,2500a/240v 3p,,City,2024 Tax @ $2.0411/sf,,,0,"8/18'0""w x 14'0""h",ESFR,City,157.0,41.7969325,-72.6563467,CT,CT.csv,13,T4-CT-00013,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"219-239 W Service Rd, Hartford, CT",False,09110,Capitol,CT,39,28591.130644048382,CT
77 Anthony St,,C,Existing,202000,202000.0,$5.00,Warehouse,Jewett City,0.0,1894.0,,101000.0,,"22'0""",,8.0,,,,2024 Tax @ $0.0286/sf,,202000.0,202000,2,Wet,,,41.608085,-71.9860556,CT,CT.csv,14,T4-CT-00014,existing,True,False,direct_existing_facility,202000.0,True,True,True,True,"77 Anthony St, Jewett City, CT",True,09180,Southeastern Connecticut,CT,40,7622.048125042047,CT
400 Captain Neville Dr,,B,Existing,208000,10000.0,$9.50,Warehouse,Waterbury,95.19,1972.0,,208000.0,2.74,"17'0""",50'w x 50'd,10.0,1800a/480v 3p,,Yes,,,10000.0,10000,1,Wet,Yes,570.0,41.536693,-72.975416,CT,CT.csv,15,T4-CT-00015,existing,True,False,direct_existing_facility,10000.0,True,False,True,True,"400 Captain Neville Dr, Waterbury, CT",False,09140,Naugatuck Valley,CT,40,12086.528704316876,CT
70 Community Ave,,B,Existing,357401,210000.0,$5.75,Warehouse,Plainfield,41.24,1990.0,,357401.0,0.13,"18'0""",25'w,25.0,2000a/277-480v 3p,,Yes,2024 Tax @ $0.1531/sf,,210000.0,210000,"1/12'0""w x 14'0""h",Wet,Yes,45.0,41.6731086,-71.9196084,CT,CT.csv,16,T4-CT-00016,existing,True,False,direct_existing_facility,210000.0,True,True,True,True,"70 Community Ave, Plainfield, CT",True,09150,Northeastern Connecticut,CT,40,4185.534118524314,CT
32 Henry St,Shepard's Warehouse,C,Existing,378947,2000.0,$14.00,Warehouse,Bethel,99.47,1972.0,,360000.0,0.1,"26'0""",,28.0,400a 3p,Providence and Worcester Railroad,City,2024 Tax @ $0.4944/sf,,2000.0,2000,"2/16'0""w x 16'0""h",Yes,City,35.0,41.366507,-73.416687,CT,CT.csv,17,T4-CT-00017,existing,True,False,direct_existing_facility,2000.0,True,False,True,True,Shepard's Warehouse,False,09190,Western Connecticut,CT,0,16938.064252715645,CT
475 Knotter Dr,,C,Existing,356612,340000.0,$9.00,Distribution,Cheshire,100.0,1986.0,,150000.0,1.39,"24'0""",,37.0,,,,2025 Tax @ $1.3688/sf,,340000.0,0,2,Wet,,472.0,41.5445466,-72.9228501,CT,CT.csv,18,T4-CT-00018,existing,True,False,direct_existing_facility,340000.0,True,True,True,True,"475 Knotter Dr, Cheshire, CT",True,09140,Naugatuck Valley,CT,40,12086.528704316876,CT
1 Market Cir,I-91 Logistics Center,B,Existing,355000,230000.0,$8.95,Distribution,Windsor,35.21,1974.0,,355000.0,1.05,"27'0""",40'w x 50'd,22.0,2500a/480v 3p,,,2024 Tax @ $0.7537/sf,,230000.0,230000,"1/12'0""w x 14'0""h",ESFR,,371.0,41.898373,-72.629477,CT,CT.csv,19,T4-CT-00019,existing,True,False,direct_existing_facility,230000.0,True,True,True,True,I-91 Logistics Center,True,09110,Capitol,CT,39,28591.130644048382,CT
110 Tradeport Dr,,A,Existing,234000,40000.0,$7.75,Distribution,Windsor,100.0,2022.0,,234000.0,0.75,"32'0""",50'w x 50'd,33.0,3000a/480v 3p,,County,2025 Tax @ $0.0367/sf,,0.0,0,2,ESFR,County,175.0,41.9147097,-72.7141077,CT,CT.csv,20,T4-CT-00020,existing,True,False,direct_existing_facility,40000.0,True,True,True,True,"110 Tradeport Dr, Windsor, CT",True,09110,Capitol,CT,39,28591.130644048382,CT
26 Barnes Industrial Rd N,,B,Existing,221643,,$8.92 - 10.90 (Est.),Warehouse,Wallingford,100.0,1977.0,,185990.0,1.01,"18'0""",,5.0,,,,2024 Tax @ $0.6661/sf,,,0,,,,223.0,41.4889905,-72.7964834,CT,CT.csv,22,T4-CT-00022,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"26 Barnes Industrial Rd N, Wallingford, CT",False,09170,South Central Connecticut,CT,40,16697.35913819854,CT
1265 W Broad St,,A,Existing,231000,231000.0,$10.94 - 13.37 (Est.),Warehouse,Stratford,0.0,2024.0,,231000.0,1.0,"36'0""",56'w x 50'd,38.0,2500a/480v,,City,2025 Tax @ $2.0776/sf,,231000.0,231000,2,,City,232.0,41.1901764,-73.1363721,CT,CT.csv,23,T4-CT-00023,existing,True,False,direct_existing_facility,231000.0,True,True,True,True,"1265 W Broad St, Stratford, CT",True,09120,Greater Bridgeport,CT,0,8133.226935947203,CT
61 Chapel Rd,,B,Existing,485000,,$9.36 - 11.43 (Est.),Distribution,Manchester,100.0,1981.0,2020.0,485000.0,0.52,"32'0""",36'w x 40'd,48.0,1600a/480v 3p,,,2025 Tax @ $1.4743/sf,,,0,"2/20'0""w x 22'0""h",Wet,,160.0,41.7956841,-72.5702632,CT,CT.csv,24,T4-CT-00024,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"61 Chapel Rd, Manchester, CT",False,09110,Capitol,CT,39,28591.130644048382,CT
3 Chirnside Rd,,C,Existing,384510,,$7.37 - 9.01 (Est.),Warehouse,Windsor Locks,100.0,1965.0,,384510.0,0.12,,,,,,,2024 Tax @ $0.3614/sf,,,0,,,,42.0,41.934058,-72.665813,CT,CT.csv,25,T4-CT-00025,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3 Chirnside Rd, Windsor Locks, CT",False,09110,Capitol,CT,39,28591.130644048382,CT
460 Coe Ave,"Town Fair Tire Centers, Inc.",B,Existing,210314,,$8.58 - 10.49 (Est.),Warehouse,East Haven,100.0,1975.0,,210314.0,3.79,,,,,,,2025 Tax @ $1.1129/sf,,,0,,Wet,,300.0,41.2616895,-72.8741854,CT,CT.csv,26,T4-CT-00026,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"Town Fair Tire Centers, Inc.",False,09170,South Central Connecticut,CT,40,16697.35913819854,CT
160 Corporate Ct,,B,Existing,241333,,$9.41 - 11.50 (Est.),Distribution,Meriden,100.0,1987.0,2019.0,241333.0,1.24,"27'0""",50'w x 43'd,53.0,2000a/277-480v 3p,,City,,,,0,"2/10'0""w x 12'0""h",Wet,City,258.0,41.5119506,-72.7615426,CT,CT.csv,27,T4-CT-00027,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"160 Corporate Ct, Meriden, CT",False,09170,South Central Connecticut,CT,40,16697.35913819854,CT
120 Countyline Dr,,A,Existing,403000,,$8.22 - 10.05 (Est.),Distribution,Cromwell,100.0,2019.0,,403000.0,0.81,"32'0""",50'w x 60'd,50.0,3000a/277-480v,,,2025 Tax @ $2.5287/sf,,,0,2,ESFR,City,327.0,41.6308177,-72.6847722,CT,CT.csv,28,T4-CT-00028,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"120 Countyline Dr, Cromwell, CT",False,09130,Lower Connecticut River Valley,CT,40,5416.948488381647,CT
