property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
3300-3350 New York Ave NE,,C,Existing,100445,9303.0,$17.50,Warehouse,Washington,90.74,1959.0,,100445.0,0.6,"18'0""",50'w,16.0,850a 3p,Conrail,City,2025 Tax @ $1.3820/sf,,9303.0,9303,"4/12'0""w x 10'0""h",Yes,City,60.0,38.917301,-76.96028,DC,DC.csv,1,T4-DC-00001,existing,True,False,direct_existing_facility,9303.0,True,False,True,True,"3300-3350 New York Ave NE, Washington, DC",False,11001,District of Columbia,DC,37,12819.21327202462,DC
6500-6527 Chillum Pl NW,,C,Existing,147216,45937.0,$12.71 - 15.53 (Est.),Warehouse,Washington,68.8,1955.0,2018.0,80597.0,2.48,"18'0""",,16.0,Heavy,,City,2025 Tax @ $1.4097/sf,,45937.0,45937,4,Wet,City,400.0,38.9685913,-77.0122811,DC,DC.csv,2,T4-DC-00002,existing,True,False,direct_existing_facility,45937.0,True,True,True,True,"6500-6527 Chillum Pl NW, Washington, DC",True,11001,District of Columbia,DC,37,12819.21327202462,DC
3015-3055 V St NE,,C,Existing,100120,46750.0,$11.73 - 14.34 (Est.),Warehouse,Washington,100.0,1958.0,,100120.0,,"18'0""",,15.0,,Conrail,City,2025 Tax @ $1.6917/sf,,46750.0,0,8,Wet,City,,38.918422,-76.965109,DC,DC.csv,3,T4-DC-00003,existing,True,False,direct_existing_facility,46750.0,True,True,True,True,"3015-3055 V St NE, Washington, DC",True,11001,District of Columbia,DC,37,12819.21327202462,DC
1845 4th St NE,Verizon,C,Existing,162514,,$13.59 - 16.61 (Est.),Warehouse,Washington,100.0,1925.0,,40628.0,0.06,"15'0""",,6.0,,,City,2025 Tax @ $2.8441/sf,,,0,,Yes,City,,38.914957,-77.000179,DC,DC.csv,4,T4-DC-00004,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Verizon,False,11001,District of Columbia,DC,37,12819.21327202462,DC
4900 6th St NE,Capital Area Food Bank,B,Existing,121608,,$13.35 - 16.31 (Est.),Warehouse,Washington,100.0,2011.0,,121608.0,,,,10.0,,,,,,,0,4,,,,38.94772,-76.999913,DC,DC.csv,5,T4-DC-00005,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Capital Area Food Bank,False,11001,District of Columbia,DC,37,12819.21327202462,DC
1501 Eckington Pl NE,FedEx,C,Existing,200000,,$13.10 - 16.02 (Est.),Warehouse,Washington,100.0,1989.0,,200000.0,,"16'0""",,,,,,2025 Tax @ $8.5876/sf,,,0,8,,,,38.909894,-77.00384,DC,DC.csv,6,T4-DC-00006,existing,True,False,direct_existing_facility,0.0,False,False,True,True,FedEx,False,11001,District of Columbia,DC,37,12819.21327202462,DC
2225-2301 Lawrence Ave,,C,Existing,128000,,$13.62 - 16.64 (Est.),Warehouse,Washington,100.0,1942.0,,32000.0,,,,8.0,1a/1v,,,,,,0,,,,,38.9196376,-76.9769461,DC,DC.csv,7,T4-DC-00007,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2225-2301 Lawrence Ave, Washington, DC",False,11001,District of Columbia,DC,37,12819.21327202462,DC
501 M St SE,Building 202,C,Existing,215000,,$12.33 - 15.07 (Est.),Warehouse,Washington,100.0,1941.0,,35833.0,,,,,,,,,,,0,,,,,38.8757403,-76.9993025,DC,DC.csv,8,T4-DC-00008,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Building 202,False,11001,District of Columbia,DC,37,12819.21327202462,DC
2850 New York Ave NE,,C,Existing,132008,,$13.55 - 16.56 (Est.),Warehouse,Washington,100.0,1965.0,1987.0,106552.0,0.76,"24'0""",,10.0,,,,2025 Tax @ $3.4352/sf,,,0,,Wet,,100.0,38.9176371,-76.9656691,DC,DC.csv,9,T4-DC-00009,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2850 New York Ave NE, Washington, DC",False,11001,District of Columbia,DC,37,12819.21327202462,DC
2800 V St NE,,B,Existing,281098,,$13.33 - 16.29 (Est.),Warehouse,Washington,100.0,1951.0,1995.0,281098.0,,"20'0""",25'w x 25'd,34.0,,Pennsylvania,City,2025 Tax @ $1.3015/sf,,,0,"5/9'0""w x 9'0""h",Wet,City,100.0,38.920615,-76.968397,DC,DC.csv,10,T4-DC-00010,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2800 V St NE, Washington, DC",False,11001,District of Columbia,DC,37,12819.21327202462,DC
