property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
600-618 Grantham Ln,,B,Existing,250000,277000.0,$9.50 - 10.00,Warehouse,New Castle,0.0,1960.0,,250000.0,0.17,"26'0""",,12.0,12000a/480v 3p,,Yes,2024 Tax @ $0.4617/sf,,250000.0,223000,"6/14'0""w x 12'0""h",Wet,Yes,40.0,39.64628,-75.592497,DE,DE.csv,1,T4-DE-00001,existing,True,False,direct_existing_facility,277000.0,True,True,True,True,"600-618 Grantham Ln, New Castle, DE",True,10003,New Castle,DE,30,27007.29222202576,DE
60 Starlifter Ave,,A,Existing,249370,56265.0,$8.50,Warehouse,Dover,77.44,1994.0,,242400.0,1.01,"32'0""",45'w x 50'd,,2000a/277-480v 3p 4w,,City,2025 Tax @ $0.4355/sf,,56265.0,56265,"1/12'0""w x 14'0""h",ESFR,City,247.0,39.144637,-75.471198,DE,DE.csv,2,T4-DE-00002,existing,True,False,direct_existing_facility,56265.0,True,True,True,True,"60 Starlifter Ave, Dover, DE",True,10001,Kent,DE,29,9767.601493733484,DE
7494 Federalsburg Rd,Cannon Warehouse Systems,C,Existing,240258,,$3.26 - 3.99 (Est.),Warehouse,Bridgeville,100.0,1993.0,,240258.0,0.0,"28'0""",,,,,,2025 Tax @ $0.1902/sf,,,0,19,Dry,,,38.74051,-75.607202,DE,DE.csv,3,T4-DE-00003,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Cannon Warehouse Systems,False,10005,Sussex,DE,29,23628.11966142655,DE
1700 Dulaney St,,B,Existing,208000,40000.0,$6.75,Warehouse,Seaford,80.77,2000.0,,208000.0,0.09,"28'0""",,6.0,60a,,,2025 Tax @ $0.1222/sf,,40000.0,40000,,,,20.0,38.6406952,-75.6384869,DE,DE.csv,5,T4-DE-00005,existing,True,False,direct_existing_facility,40000.0,True,True,True,True,"1700 Dulaney St, Seaford, DE",True,10005,Sussex,DE,29,23628.11966142655,DE
17573 S Dupont Hwy,,B,Existing,200000,72000.0,$3.50 - 8.00,Warehouse,Harrington,64.0,1936.0,,196328.0,0.19,"20'0""",,6.0,3600a/480v,,,2025 Tax @ $0.1001/sf,,72000.0,72000,4,Yes,,38.0,38.9187956,-75.5664289,DE,DE.csv,6,T4-DE-00006,existing,True,False,direct_existing_facility,72000.0,True,True,True,True,"17573 S Dupont Hwy, Harrington, DE",True,10001,Kent,DE,29,9767.601493733484,DE
2051 Old Coochs Bridge Rd,Building D,A,Existing,294600,,$10.46 - 12.78 (Est.),Warehouse,Newark,100.0,2023.0,,294600.0,0.79,"40'0""",54'w x 48'd,63.0,,,,2024 Tax @ $0.0902/sf,,,0,2,ESFR,,323.0,39.6220908,-75.7396873,DE,DE.csv,7,T4-DE-00007,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Building D,False,10003,New Castle,DE,30,27007.29222202576,DE
1204 - 1 E 12th St,,C,Existing,212000,,$5.41 - 6.62 (Est.),Warehouse,Wilmington,100.0,1940.0,,212000.0,0.04,"20'0""",,12.0,480a 3p 4w,,City,2024 Tax @ $0.0705/sf,,,0,"5/8'0""w x 12'0""h",Wet,City,8.0,39.741372,-75.532956,DE,DE.csv,8,T4-DE-00008,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1204 - 1 E 12th St, Wilmington, DE",False,10003,New Castle,DE,30,27007.29222202576,DE
205 West Big Woods Rd,NKS Distributors,A,Existing,275000,,$9.22 - 11.27 (Est.),Distribution,Smyrna,100.0,2022.0,,275000.0,,,,,,,,2025 Tax @ $0.1712/sf,,,0,,,,,39.267557,-75.5826199,DE,DE.csv,9,T4-DE-00009,existing,True,False,direct_existing_facility,0.0,False,False,True,True,NKS Distributors,False,10001,Kent,DE,29,9767.601493733484,DE
104 Alan Dr,D&S Warehosuing,B,Existing,265850,,$8.40 - 10.26 (Est.),Warehouse,Newark,100.0,1980.0,,265850.0,0.14,"26'0""",,12.0,440a 3p,Norfolk Southern,,2024 Tax @ $0.4780/sf,,,0,"5/10'0""w x 14'0""h",Wet,,43.0,39.6904086,-75.6907541,DE,DE.csv,10,T4-DE-00010,existing,True,False,direct_existing_facility,0.0,False,False,True,True,D&S Warehosuing,False,10003,New Castle,DE,30,27007.29222202576,DE
100 Amer Rd,Fox Point Industrial Park,C,Existing,232000,,$4.52 - 5.52 (Est.),Warehouse,Wilmington,100.0,1915.0,2004.0,232000.0,,"30'0""",,2.0,Heavy,Conrail,City,2024 Tax @ $0.3370/sf,,,0,"2/20'0""w x 22'0""h",Yes,City,,39.7449922,-75.5023269,DE,DE.csv,11,T4-DE-00011,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Fox Point Industrial Park,False,10003,New Castle,DE,30,27007.29222202576,DE
