property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
60 Maple St,,B,Existing,227166,150773.0,$8.92 - 10.91 (Est.),Distribution,Mansfield,52.06,1968.0,,227166.0,1.06,"21'6""",40'w x 40'd,12.0,1800a/220-480v 3p,CSX,City,2025 Tax @ $0.7640/sf,,150773.0,108893,"2/10'0""w x 12'0""h",Wet,City,233.0,42.0441116,-71.2072797,MA,MA.csv,1,T4-MA-00001,existing,True,False,direct_existing_facility,150773.0,True,True,True,True,"60 Maple St, Mansfield, MA",True,25005,Bristol,MA,33,14111.7303778516,MA
53 Ayer Rd,,B,Existing,374270,92000.0,$6.50 - 7.95 (Est.),Warehouse,Littleton,75.42,1965.0,2022.0,374270.0,0.52,"38'0""",,8.0,,,,,,92000.0,92000,12,,,200.0,42.5466949,-71.5170479,MA,MA.csv,2,T4-MA-00002,existing,True,False,direct_existing_facility,92000.0,True,True,True,True,"53 Ayer Rd, Littleton, MA",True,25017,Middlesex,MA,16,37219.47229475793,MA
1 Ace St,,C,Existing,283000,66750.0,$6.00 - 12.00,Warehouse,Fall River,76.41,1890.0,1990.0,83333.0,0.3,"30'0""",,5.0,3p,,,,,66750.0,66750,"1/10'0""w x 10'0""h",Wet,Yes,75.0,41.725966,-71.1442809,MA,MA.csv,3,T4-MA-00003,existing,True,False,direct_existing_facility,66750.0,True,True,True,True,"1 Ace St, Fall River, MA",True,25005,Bristol,MA,33,14111.7303778516,MA
11 Berkshire St,,C,Existing,350000,54000.0,$6.00,Warehouse,Holyoke,84.57,1934.0,,80000.0,0.34,"11'0""",,11.0,Heavy,,,2025 Tax @ $0.0195/sf,,54000.0,54000,Yes,,,100.0,42.1935451,-72.6153534,MA,MA.csv,4,T4-MA-00004,existing,True,False,direct_existing_facility,54000.0,True,True,True,True,"11 Berkshire St, Holyoke, MA",True,25013,Hampden,MA,39,15018.342585545664,MA
10-14 New Bond St,,B,Existing,319187,54000.0,$6.75,Warehouse,Worcester,100.0,1901.0,2017.0,319187.0,0.94,"30'0""",20'w x 30'd,20.0,4000a/480v 3p,,City,2025 Tax @ $1.2040/sf,,54000.0,0,3,Wet,City,262.0,42.3070435,-71.8025838,MA,MA.csv,5,T4-MA-00005,existing,True,False,direct_existing_facility,54000.0,True,True,True,True,"10-14 New Bond St, Worcester, MA",True,25027,Worcester,MA,16,20016.15286549168,MA
296 Nonotuck St,Nonotuck Mill,C,Existing,205350,17728.0,$14.00 - 17.50,Warehouse,Northampton,91.37,1885.0,2019.0,50000.0,0.53,"28'0""",,6.0,400a,,Yes,2025 Tax @ $0.1456/sf,,17728.0,17728,"7/8'0""w x 8'0""h",Wet,Yes,80.0,42.329784,-72.676114,MA,MA.csv,6,T4-MA-00006,existing,True,False,direct_existing_facility,17728.0,True,False,True,True,Nonotuck Mill,False,25015,Hampshire,MA,39,4829.097795020121,MA
2341 Providence Rd,,C,Existing,396167,396167.0,$2.00 - 5.00,Warehouse,Northbridge,0.0,1888.0,,95000.0,0.05,,,8.0,3p,,,2025 Tax @ $0.0826/sf,,396167.0,396167,"2/10'0""w x 12'0""h",Wet,,20.0,42.1552322,-71.6530117,MA,MA.csv,7,T4-MA-00007,existing,True,False,direct_existing_facility,396167.0,True,True,True,True,"2341 Providence Rd, Northbridge, MA",True,25027,Worcester,MA,16,20016.15286549168,MA
111 Adams Rd,,B,Existing,456393,47000.0,$5.91 - 7.22 (Est.),Distribution,Clinton,89.7,1964.0,2005.0,456393.0,0.44,"28'0""",24'w x 50'd,56.0,3400-6000a/480v 3p,,City,2025 Tax @ $1.3102/sf,,47000.0,47000,"3/14'0""w x 18'0""h",Wet,City,275.0,42.4316708,-71.688632,MA,MA.csv,8,T4-MA-00008,existing,True,False,direct_existing_facility,47000.0,True,True,True,True,"111 Adams Rd, Clinton, MA",True,25027,Worcester,MA,16,20016.15286549168,MA
95 Aubuchon Dr,,B,Existing,412360,100749.0,$6.10 - 7.45 (Est.),Distribution,Westminster,75.57,1988.0,,206180.0,0.58,"26'0""",30'w x 30'd,39.0,1200-3000a,,City,2025 Tax @ $0.2686/sf,,100749.0,100749,4,ESFR,City,180.0,42.5514239,-71.9163392,MA,MA.csv,9,T4-MA-00009,existing,True,False,direct_existing_facility,100749.0,True,True,True,True,"95 Aubuchon Dr, Westminster, MA",True,25027,Worcester,MA,16,20016.15286549168,MA
1 Burlington Ave,,B,Existing,248045,57200.0,$10.76 - 13.15 (Est.),Warehouse,Wilmington,100.0,1969.0,2000.0,248045.0,3.22,"18'0""",30'w x 30'd,22.0,400a/120-480v,Boston & Maine Railroad,City,2025 Tax @ $0.8747/sf,,57200.0,0,2,Wet,City,800.0,42.5474771,-71.1759281,MA,MA.csv,10,T4-MA-00010,existing,True,False,direct_existing_facility,57200.0,True,True,True,True,"1 Burlington Ave, Wilmington, MA",True,25017,Middlesex,MA,16,37219.47229475793,MA
