property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
9325 Snowden River Pky,Snowden Distribution Center,B,Existing,475074,163118.0,$9.44 - 11.54 (Est.),Warehouse,Columbia,65.66,1968.0,2004.0,237537.0,1.2,"21'4""",40'w x 60'd,39.0,480v 3p,,City,2024 Tax @ $1.1177/sf,,163118.0,163118,"7/10'0""w x 12'0""h",Wet,City,395.0,39.1741968,-76.8362706,MD,MD.csv,1,T4-MD-00001,existing,True,False,direct_existing_facility,163118.0,True,True,True,True,Snowden Distribution Center,True,24027,Howard,MD,8,12745.246924414032,MD
6930 San Tomas Rd,,B,Existing,205800,65100.0,$9.35 - 11.43 (Est.),Warehouse,Elkridge,100.0,1985.0,,205800.0,0.66,"24'0""",30'w x 31'd,27.0,400a/277-480v,CSX,City,2024 Tax @ $1.1535/sf,,65100.0,0,"2/10'0""w x 12'0""h",ESFR,City,136.0,39.1869583,-76.749067,MD,MD.csv,2,T4-MD-00002,existing,True,False,direct_existing_facility,65100.0,True,True,True,True,"6930 San Tomas Rd, Elkridge, MD",True,24027,Howard,MD,8,12745.246924414032,MD
300 Clubhouse Rd,Clubhouse Center,B,Existing,378000,69300.0,$10.00 - 15.50,Warehouse,Hunt Valley,77.54,1969.0,2004.0,205580.0,1.9,"24'0""",40'w x 40'd,25.0,6000a/277-480v 3p,,City,2024 Tax @ $0.7548/sf,,69300.0,86500,"5/10'0""w x 12'0""h",Wet,City,719.0,39.4828763,-76.6634032,MD,MD.csv,3,T4-MD-00003,existing,True,False,direct_existing_facility,86500.0,True,True,True,True,Clubhouse Center,True,24005,Baltimore,MD,6,25309.308144309696,MD
4600 Wedgewood Blvd,Wedgewood II,A,Existing,377700,56000.0,$49.00,Warehouse,Frederick,91.1,2000.0,,377700.0,1.0,"24'0""",40'w x 40'd,60.0,4000a/220-440v 3p 4w,,City,2024 Tax @ $1.0860/sf,,33600.0,33600,"3/14'0""w x 16'0""h",Wet,City,400.0,39.3598012,-77.4230993,MD,MD.csv,4,T4-MD-00004,existing,True,False,direct_existing_facility,56000.0,True,True,True,True,Wedgewood II,True,24021,Frederick,MD,8,11920.94033845499,MD
1020 Airport 100 Way,,B,Existing,321504,50000.0,$11.02 - 13.47 (Est.),Warehouse,Hanover,100.0,2001.0,,321504.0,0.78,"32'0""",60'w x 60'd,35.0,277-480v 3p 4w,,,2024 Tax @ $0.9464/sf,,0.0,0,"1/12'0""w x 14'0""h",ESFR,,250.0,39.1695976,-76.7177614,MD,MD.csv,5,T4-MD-00005,existing,True,False,direct_existing_facility,50000.0,True,True,True,True,"1020 Airport 100 Way, Hanover, MD",True,24003,Anne Arundel,MD,6,19623.13700434625,MD
4545 Annapolis Rd,,B,Existing,369633,10000.0,$4.98 - 6.08 (Est.),Warehouse,Baltimore,100.0,1962.0,,184817.0,18.84,"22'0""",36'w x 40'd,14.0,Heavy,,City,2024 Tax @ $0.3147/sf,,10000.0,0,"1/10'0""w x 12'0""h",Wet,City,194.0,39.2288747,-76.639278,MD,MD.csv,6,T4-MD-00006,existing,True,False,direct_existing_facility,10000.0,True,False,True,True,"4545 Annapolis Rd, Baltimore, MD",False,24005,Baltimore,MD,6,25309.308144309696,MD
242 Breaker Dr,Building 2,A,Existing,293129,293129.0,$7.59 - 9.28 (Est.),Distribution,Hagerstown,0.0,2024.0,,293129.0,0.79,"36'0""",50'w x 54'd,53.0,4000a,,,,,293129.0,293129,2,ESFR,,298.0,39.6217256,-77.7014598,MD,MD.csv,7,T4-MD-00007,existing,True,False,direct_existing_facility,293129.0,True,True,True,True,Building 2,True,24043,Washington,MD,8,11750.814481035372,MD
1701 Brightseat Rd,Library of Congress Annex,B,Existing,220593,125000.0,$12.31 - 15.04 (Est.),Distribution,Landover,43.33,1975.0,,110296.0,1.13,"24'0""",,20.0,1200a/220v 3p,,,2024 Tax @ $2.3850/sf,,125000.0,125000,"1/10'0""w x 12'0""h",Wet,,200.0,38.9113184,-76.8525782,MD,MD.csv,8,T4-MD-00008,existing,True,False,direct_existing_facility,125000.0,True,True,True,True,Library of Congress Annex,True,24033,Prince George's,MD,11,23025.665413040573,MD
755 Chelsea Rd,,A,Existing,259200,259200.0,$8.27 - 10.11 (Est.),Warehouse,Aberdeen,0.0,2024.0,,259200.0,0.9,"32'0""",54'w x 60'd,71.0,2500a,,,2025 Tax @ $0.0378/sf,,259200.0,259200,"3/12'0""w x 14'0""h",ESFR,,,39.4472745,-76.2123221,MD,MD.csv,9,T4-MD-00009,existing,True,False,direct_existing_facility,259200.0,True,True,True,True,"755 Chelsea Rd, Aberdeen, MD",True,24025,Harford,MD,38,7903.846003197576,MD
8660 Cherry Ln,,C,Existing,345451,58803.0,$7.37 - 9.01 (Est.),Warehouse,Laurel,100.0,1976.0,,345451.0,0.45,"22'0""",30'w x 33'd,52.0,800a/480v 3p,,City,2024 Tax @ $1.0172/sf,,58803.0,0,"9/7'0""w x 10'0""h",Wet,City,157.0,39.090893,-76.852495,MD,MD.csv,10,T4-MD-00010,existing,True,False,direct_existing_facility,58803.0,True,True,True,True,"8660 Cherry Ln, Laurel, MD",True,24033,Prince George's,MD,11,23025.665413040573,MD
8203 Fischer Rd,,C,Existing,285550,174064.0,$6.20 - 7.58 (Est.),Warehouse,Dundalk,55.76,1953.0,,285550.0,0.67,"26'0""",,22.0,120-480v 3p,,City,2024 Tax @ $0.5010/sf,,126332.0,126332,"11/20'0""w x 14'0""h",Wet,City,100.0,39.273049,-76.4629695,MD,MD.csv,12,T4-MD-00012,existing,True,False,direct_existing_facility,174064.0,True,True,True,True,"8203 Fischer Rd, Dundalk, MD",True,24005,Baltimore,MD,6,25309.308144309696,MD
10000 Franklin Square Dr,,A,Existing,392500,148215.0,$10.04 - 12.27 (Est.),Warehouse,Nottingham,62.24,1996.0,,392500.0,0.45,"41'6""",46'w,52.0,8000a/277-480v 3p 4w,,City,2024 Tax @ $1.0902/sf,,148215.0,148215,3,ESFR,City,297.0,39.3694024,-76.4582919,MD,MD.csv,13,T4-MD-00013,existing,True,False,direct_existing_facility,148215.0,True,True,True,True,"10000 Franklin Square Dr, Nottingham, MD",True,24005,Baltimore,MD,6,25309.308144309696,MD
