property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
586 Lewiston Junction Rd,,B,Existing,123359,79327.0,$5.00 - 8.00,Distribution,Auburn,35.69,1995.0,,41120.0,0.49,,,7.0,Heavy,,City,,,79327.0,79327,5,Wet,City,60.0,44.0451286,-70.2992715,ME,ME.csv,1,T4-ME-00001,existing,True,False,direct_existing_facility,79327.0,True,True,True,True,"586 Lewiston Junction Rd, Auburn, ME",True,23001,Androscoggin,ME,5,8650.988424634748,ME
17 Lincoln St,,C,Existing,152460,300.0,$40.00,Warehouse,Biddeford,99.8,1850.0,,30492.0,,,,,,,,2025 Tax @ $1.1003/sf,,300.0,300,,,,,43.494321,-70.455661,ME,ME.csv,2,T4-ME-00002,existing,True,False,direct_existing_facility,300.0,True,False,True,True,"17 Lincoln St, Biddeford, ME",False,23031,York,ME,17,10283.952501625234,ME
55 Logistics Dr,Gendron Distribution Center,B,Existing,283460,180000.0,$11.50,Warehouse,Auburn,36.5,2006.0,,283460.0,,"32'0""",37'w x 50'd,8.0,Heavy,St. Lawrence & Raquette River Railroad,Yes,2024 Tax @ $0.0495/sf,,180000.0,180000,"4/14'0""w x 14'0""h",,Yes,,44.0412282,-70.2939882,ME,ME.csv,3,T4-ME-00003,existing,True,False,direct_existing_facility,180000.0,True,True,True,True,Gendron Distribution Center,True,23001,Androscoggin,ME,5,8650.988424634748,ME
115 Logistics Dr,,B,Existing,102000,102000.0,$9.95,Warehouse,Auburn,0.0,2008.0,,102000.0,0.0,"26'0""",,14.0,,,Yes,2024 Tax @ $0.0495/sf,,102000.0,102000,2,ESFR,Yes,,44.0407501,-70.2955481,ME,ME.csv,4,T4-ME-00004,existing,True,False,direct_existing_facility,102000.0,True,True,True,True,"115 Logistics Dr, Auburn, ME",True,23001,Androscoggin,ME,5,8650.988424634748,ME
26 Morin St,,C,Existing,106200,20400.0,$6.50,Distribution,Biddeford,80.79,1972.0,,106200.0,0.7,"33'0""",,2.0,,,,2025 Tax @ $0.6634/sf,,20400.0,20400,,Yes,,75.0,43.4636,-70.493305,ME,ME.csv,5,T4-ME-00005,existing,True,False,direct_existing_facility,20400.0,True,True,True,True,"26 Morin St, Biddeford, ME",True,23031,York,ME,17,10283.952501625234,ME
7 Rand Rd,,C,Existing,303156,22000.0,$10.00,Warehouse,Portland,92.74,1972.0,,303156.0,0.66,"33'0""",35'w x 35'd,20.0,,,,2024 Tax @ $0.6535/sf,,22000.0,22000,8,Wet,,201.0,43.6708039,-70.3245986,ME,ME.csv,6,T4-ME-00006,existing,True,False,direct_existing_facility,22000.0,True,True,True,True,"7 Rand Rd, Portland, ME",True,23005,Cumberland,ME,5,23357.347649143943,ME
650 River Rd,,C,Existing,133760,30000.0,$6.50,Warehouse,Gardiner,77.57,1955.0,,133760.0,0.37,"21'0""",,9.0,Heavy,,City,2024 Tax @ $0.2842/sf,,30000.0,30000,4,Wet,City,50.0,44.186412,-69.756261,ME,ME.csv,7,T4-ME-00007,existing,True,False,direct_existing_facility,30000.0,True,True,True,True,"650 River Rd, Gardiner, ME",True,23011,Kennebec,ME,43,7315.4650435596595,ME
1705 Route 202 Hwy,,C,Existing,130000,35624.0,$9.50,Warehouse,Winthrop,72.6,1971.0,2022.0,130000.0,3.07,"17'0""",,6.0,4600a/240-480v 3p,,,2025 Tax @ $0.6377/sf,,35624.0,35624,,Wet,,110.0,44.304217,-69.95958,ME,ME.csv,8,T4-ME-00008,existing,True,False,direct_existing_facility,35624.0,True,True,True,True,"1705 Route 202 Hwy, Winthrop, ME",True,23011,Kennebec,ME,43,7315.4650435596595,ME
90 Spencer Dr,,B,Existing,332836,243346.0,$7.95,Warehouse,Wells,100.0,1981.0,1999.0,200044.0,0.0,"40'0""",40'w x 40'd,16.0,480v,,Yes,2025 Tax @ $0.3346/sf,,243346.0,0,1,Wet,Yes,,43.3235818,-70.5994014,ME,ME.csv,9,T4-ME-00009,existing,True,False,direct_existing_facility,243346.0,True,True,True,True,"90 Spencer Dr, Wells, ME",True,23031,York,ME,17,10283.952501625234,ME
2 Alfred Rd,,C,Existing,212312,,$8.82 - 10.79 (Est.),Warehouse,Kennebunk,100.0,1969.0,,212312.0,,,,,,,,2024 Tax @ $1.0673/sf,,,0,,,,,43.4039969,-70.565713,ME,ME.csv,10,T4-ME-00010,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"2 Alfred Rd, Kennebunk, ME",False,23031,York,ME,17,10283.952501625234,ME
