property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
7 Crow's Nest Circle Dr,,A,Existing,359309,142000.0,$12.50,Warehouse,Merrimack,60.48,2025.0,,359309.0,0.85,"36'0""",54'w x 48'd,96.0,6000a/480v 3p,,Yes,,,142000.0,142000,"8/12'0""w x 14'0""h",ESFR,Yes,334.0,42.8112235,-71.4782897,NH,NH.csv,1,T4-NH-00001,existing,True,False,direct_existing_facility,142000.0,True,True,True,True,"7 Crow's Nest Circle Dr, Merrimack, NH",True,33011,Hillsborough,NH,17,11546.730449799436,NH
100 Factory St,,C,Existing,212003,35144.0,$4.95 - 12.00,Warehouse,Nashua,83.42,1900.0,1998.0,53001.0,0.47,"13'0""",,6.0,Heavy,,,2025 Tax @ $0.1339/sf,,35144.0,35144,,Wet,,100.0,42.759866,-71.471477,NH,NH.csv,2,T4-NH-00002,existing,True,False,direct_existing_facility,35144.0,True,True,True,True,"100 Factory St, Nashua, NH",True,33011,Hillsborough,NH,17,11546.730449799436,NH
1 Front St,Salmon Falls Mills,C,Existing,207535,10492.0,$10.00 - 20.00,Warehouse,Rollinsford,94.94,1848.0,,51883.0,0.37,,,,,,,2025 Tax @ $0.1997/sf,,10492.0,10492,,Wet,,200.0,43.2368615,-70.8181692,NH,NH.csv,3,T4-NH-00003,existing,True,False,direct_existing_facility,10492.0,True,False,True,True,Salmon Falls Mills,False,33017,Strafford,NH,17,3439.596910677753,NH
19-27 Terrill Park Dr,Capitol Crossing,C,Existing,214000,97185.0,$12.00,Warehouse,Concord,54.59,1977.0,,214000.0,0.57,"24'0""",25'w x 50'd,18.0,4400a 3p,,,2025 Tax @ $0.9773/sf,,97185.0,97185,4,Wet,,123.0,43.2009246,-71.5142265,NH,NH.csv,4,T4-NH-00004,existing,True,False,direct_existing_facility,97185.0,True,True,True,True,Capitol Crossing,True,33013,Merrimack,NH,10,5010.979556949096,NH
425 Washington St,Claremont Center,C,Existing,229513,7500.0,$9.00,Warehouse,Claremont,96.73,1971.0,,75000.0,0.0,"28'0""",,4.0,,,Yes,2025 Tax @ $0.6513/sf,,7500.0,7500,1,Wet,Yes,,43.3601533,-72.3128737,NH,NH.csv,5,T4-NH-00005,existing,True,False,direct_existing_facility,7500.0,True,False,True,True,Claremont Center,False,33019,Sullivan,NH,10,2543.174847364493,NH
7 Amarosa Dr,,B,Existing,210893,,$8.55 - 10.45 (Est.),Warehouse,Rochester,100.0,1981.0,1994.0,210893.0,2.8,"24'0""",,17.0,400-1600a/277-480v 3p 4w,,Septic Field,,,,0,"2/8'0""w x 10'0""h",Wet,City,590.0,43.3467394,-70.9764037,NH,NH.csv,6,T4-NH-00006,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"7 Amarosa Dr, Rochester, NH",False,33017,Strafford,NH,17,3439.596910677753,NH
1 Bon Terrain Dr,,B,Existing,425152,208520.0,$7.02 - 8.58 (Est.),Warehouse,Amherst,100.0,2004.0,,425152.0,0.59,"30'0""",40'w x 40'd,12.0,1200a/277-480v 3p,,Yes,2025 Tax @ $1.2653/sf,,0.0,0,"1/10'0""w x 12'0""h",Wet,Yes,250.0,42.8076563,-71.5875272,NH,NH.csv,8,T4-NH-00008,existing,True,False,direct_existing_facility,208520.0,True,True,True,True,"1 Bon Terrain Dr, Amherst, NH",True,33011,Hillsborough,NH,17,11546.730449799436,NH
141 Burke St,,C,Existing,246360,,$8.14 - 9.95 (Est.),Warehouse,Nashua,100.0,1967.0,,123180.0,0.81,"29'3""",32'w,2.0,1500-5000a 3p,,City,2025 Tax @ $0.8137/sf,,,0,"18/10'0""w x 15'0""h",Yes,City,200.0,42.7494051,-71.4459288,NH,NH.csv,9,T4-NH-00009,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"141 Burke St, Nashua, NH",False,33011,Hillsborough,NH,17,11546.730449799436,NH
10-12 Celina Ave,,C,Existing,321800,321800.0,$9.53 - 11.65 (Est.),Warehouse,Nashua,100.0,1979.0,1997.0,321800.0,0.9,"30'0""",,50.0,,Guilford Rail,City,2025 Tax @ $1.4574/sf,,321800.0,0,"1/10'0""w x 14'0""h",,City,290.0,42.797854,-71.53963,NH,NH.csv,10,T4-NH-00010,existing,True,False,direct_existing_facility,321800.0,True,True,True,True,"10-12 Celina Ave, Nashua, NH",True,33011,Hillsborough,NH,17,11546.730449799436,NH
1 Cellu Dr,,C,Existing,228181,,$7.90 - 9.65 (Est.),Warehouse,Nashua,100.0,1974.0,,228181.0,0.44,"19'6""",,6.0,6000a/480v 3p,,,2025 Tax @ $0.9245/sf,,,0,"1/8'0""w x 10'0""h",Dry,,100.0,42.7966363,-71.5377713,NH,NH.csv,11,T4-NH-00011,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1 Cellu Dr, Nashua, NH",False,33011,Hillsborough,NH,17,11546.730449799436,NH
