property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
300 Jefferson St,,C,Existing,334085,96724.0,$7.00 - 8.75,Warehouse,Camden,73.63,1970.0,,334085.0,0.16,"35'0""",,10.0,,,,2025 Tax @ $0.4014/sf,,96724.0,88105,"20/9'0""w x 13'0""h",Dry,,55.0,39.9189469,-75.1250297,NJ,NJ.csv,1,T4-NJ-00001,existing,True,False,direct_existing_facility,96724.0,True,True,True,True,"300 Jefferson St, Camden, NJ",True,34007,Camden,NJ,36,19544.77848050503,NJ
25 Colony Rd,Jersey City Distribution Center,A,Existing,340857,340857.0,$13.72 - 16.77 (Est.),Warehouse,Jersey City,0.0,2004.0,,340857.0,0.38,"36'0""",48'w x 58'd,48.0,4000a/270-480v 3p,,City,2024 Tax @ $2.1479/sf,,340857.0,340857,"4/12'0""w x 14'0""h",ESFR,City,128.0,40.68184,-74.0839073,NJ,NJ.csv,2,T4-NJ-00002,existing,True,False,direct_existing_facility,340857.0,True,True,True,True,Jersey City Distribution Center,True,34017,Hudson,NJ,9,23587.807365827575,NJ
500 Supor Blvd,,B,Existing,437221,69137.0,$13.35 - 16.31 (Est.),Warehouse,Harrison,100.0,1997.0,2002.0,437221.0,0.13,"18'0""",,,2000a,,City,2024 Tax @ $1.1181/sf,,69137.0,0,4,Wet,City,59.0,40.7460447,-74.1465917,NJ,NJ.csv,3,T4-NJ-00003,existing,True,False,direct_existing_facility,69137.0,True,True,True,True,"500 Supor Blvd, Harrison, NJ",True,34017,Hudson,NJ,9,23587.807365827575,NJ
1775 Route 38,LogistiCenter at Lumberton,A,Existing,429200,429200.0,$9.18 - 11.22 (Est.),Warehouse,Lumberton,0.0,2024.0,,429200.0,0.45,"36'0""",54'w x 51'd,58.0,3000-4000a/480v,,Yes,,,429200.0,429200,"2/14'0""w x 16'0""h",ESFR,Yes,194.0,39.9772795,-74.7592383,NJ,NJ.csv,4,T4-NJ-00004,existing,True,False,direct_existing_facility,429200.0,True,True,True,True,LogistiCenter at Lumberton,True,34005,Burlington,NJ,32,18574.571830098812,NJ
95 Mayhill St,Saddle Brook Industrial Centre,B,Existing,430000,104000.0,$14.50 - 15.50,Distribution,Saddle Brook,75.81,1970.0,,430000.0,0.05,"30'0""",34'w x 40'd,6.0,400a/480v,,City,2024 Tax @ $2.4474/sf,,104000.0,104000,"1/10'0""w x 13'0""h",Wet,City,20.0,40.899206,-74.0898755,NJ,NJ.csv,5,T4-NJ-00005,existing,True,False,direct_existing_facility,104000.0,True,True,True,True,Saddle Brook Industrial Centre,True,34003,Bergen,NJ,9,40572.76221834727,NJ
328 S 2nd St,Harris Storage and Distribution,C,Existing,500000,133454.0,$7.50 - 45.00,Warehouse,Millville,87.2,1972.0,,500000.0,0.0,"24'0""",,50.0,,,,2024 Tax @ $0.0942/sf,,133454.0,64010,"6/10'0""w x 14'0""h",Dry,,,39.3882703,-75.036357,NJ,NJ.csv,6,T4-NJ-00006,existing,True,False,direct_existing_facility,133454.0,True,True,True,True,Harris Storage and Distribution,True,34011,Cumberland,NJ,23,8662.774686154115,NJ
35-95 8th St,,C,Existing,360000,68347.0,$7.50 - 13.00,Warehouse,Passaic,90.92,1925.0,,120000.0,0.0,"16'0""",,4.0,Heavy,,,2024 Tax @ $0.2335/sf,,68347.0,32684,"3/10'0""w x 13'0""h",,,,40.857174,-74.111285,NJ,NJ.csv,7,T4-NJ-00007,existing,True,False,direct_existing_facility,68347.0,True,True,True,True,"35-95 8th St, Passaic, NJ",True,34031,Passaic,NJ,7,18875.030509359214,NJ
625 Jersey Ave,,B,Existing,325000,99000.0,$12.00,Warehouse,New Brunswick,80.92,1945.0,,325000.0,0.68,"18'0""",25'w x 50'd,35.0,400a/480v,Conrail,City,,,99000.0,62000,2,Wet,City,221.0,40.4775381,-74.4761513,NJ,NJ.csv,8,T4-NJ-00008,existing,True,False,direct_existing_facility,99000.0,True,True,True,True,"625 Jersey Ave, New Brunswick, NJ",True,34023,Middlesex,NJ,15,47721.196222924744,NJ
450 Murray Hill Pky,,C,Existing,376863,41832.0,$11.98 - 14.75,Warehouse,East Rutherford,96.01,1972.0,,188432.0,0.27,"15'0""",29'w x 40'd,5.0,200a/480v,,City,2024 Tax @ $1.4710/sf,,41832.0,15030,"2/12'0""w x 12'0""h",Wet,City,100.0,40.817588,-74.0917204,NJ,NJ.csv,9,T4-NJ-00009,existing,True,False,direct_existing_facility,41832.0,True,True,True,True,"450 Murray Hill Pky, East Rutherford, NJ",True,34003,Bergen,NJ,9,40572.76221834727,NJ
501 Prospect St,Excel Business Park,B,Existing,311486,24478.0,$15.00,Warehouse,Lakewood,92.14,1960.0,,155743.0,1.0,"16'0""",,40.0,,,City,,,24478.0,24478,"12/10'0""w x 12'0""h",Yes,City,100.0,40.073399,-74.2267,NJ,NJ.csv,10,T4-NJ-00010,existing,True,False,direct_existing_facility,24478.0,True,True,True,True,Excel Business Park,True,34029,Ocean,NJ,23,16555.169252063257,NJ
1 Buckingham Ave,,C,Existing,407688,150000.0,$8.60 - 10.51 (Est.),Warehouse,Perth Amboy,60.24,1955.0,1991.0,135900.0,0.05,"18'0""",25'w x 48'd,34.0,2500a/277-480v 3p 4w,,City,2024 Tax @ $2.2201/sf,,150000.0,162105,1,Wet,City,20.0,40.51442,-74.260281,NJ,NJ.csv,11,T4-NJ-00011,existing,True,False,direct_existing_facility,162105.0,True,True,True,True,"1 Buckingham Ave, Perth Amboy, NJ",True,34023,Middlesex,NJ,15,47721.196222924744,NJ
195 Carter Dr,,B,Existing,327330,105987.0,$12.72 - 15.54 (Est.),Warehouse,Edison,100.0,1988.0,,327330.0,0.23,"24'0""",40'w x 40'd,14.0,400-600a 3p,,City,2024 Tax @ $0.9366/sf,,0.0,0,"2/14'0""w x 16'0""h",Wet,City,75.0,40.528375,-74.397745,NJ,NJ.csv,12,T4-NJ-00012,existing,True,False,direct_existing_facility,105987.0,True,True,True,True,"195 Carter Dr, Edison, NJ",True,34023,Middlesex,NJ,15,47721.196222924744,NJ
