property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
25 Colony Rd,Jersey City Distribution Center,A,Existing,340857,340857.0,$13.72 - 16.77 (Est.),Warehouse,Jersey City,0.0,2004.0,,340857.0,0.38,"36'0""",48'w x 58'd,48.0,4000a/270-480v 3p,,City,2024 Tax @ $2.1479/sf,,340857.0,340857,"4/12'0""w x 14'0""h",ESFR,City,128.0,40.68184,-74.0839073,NY,NY.csv,1,T4-NY-00001,existing,True,False,direct_existing_facility,340857.0,True,True,True,True,Jersey City Distribution Center,True,34017,Hudson,NJ,9,23587.807365827575,NJ
500 Supor Blvd,,B,Existing,437221,69137.0,$13.35 - 16.31 (Est.),Warehouse,Harrison,100.0,1997.0,2002.0,437221.0,0.13,"18'0""",,,2000a,,City,2024 Tax @ $1.1181/sf,,69137.0,0,4,Wet,City,59.0,40.7460447,-74.1465917,NY,NY.csv,2,T4-NY-00002,existing,True,False,direct_existing_facility,69137.0,True,True,True,True,"500 Supor Blvd, Harrison, NY",True,34017,Hudson,NJ,9,23587.807365827575,NJ
90 Dayton Ave,Building 3,B,Existing,230000,15857.0,$7.00 - 11.00,Warehouse,Passaic,93.11,1889.0,,100000.0,0.06,"16'0""",,1.0,,,,,,15857.0,37557,1,,,20.0,40.8722249,-74.1177952,NY,NY.csv,3,T4-NY-00003,existing,True,False,direct_existing_facility,37557.0,True,True,True,True,Building 3,True,34031,Passaic,NJ,7,18875.030509359214,NJ
400 Commerce Blvd,,B,Existing,246108,56040.0,$13.52 - 16.52 (Est.),Warehouse,Carlstadt,77.23,1985.0,,118808.0,1.0,"22'0""",48'w x 48'd,12.0,3000a,,City,,,56040.0,56040,1,Wet,City,247.0,40.8295007,-74.050905,NY,NY.csv,4,T4-NY-00004,existing,True,False,direct_existing_facility,56040.0,True,True,True,True,"400 Commerce Blvd, Carlstadt, NY",True,34003,Bergen,NJ,9,40572.76221834727,NJ
301 Island Rd,,B,Existing,212840,91092.0,$15.00,Warehouse,Mahwah,64.25,1964.0,2013.0,212840.0,1.61,"22'0""",30'w x 35'd,35.0,2400a/277-480v,Norfolk Southern,,2024 Tax @ $0.9697/sf,,76092.0,76092,1,Wet,,342.0,41.0815094,-74.1474828,NY,NY.csv,5,T4-NY-00005,existing,True,False,direct_existing_facility,91092.0,True,True,True,True,"301 Island Rd, Mahwah, NY",True,34003,Bergen,NJ,9,40572.76221834727,NJ
33-00 47th Ave,Redstone Rocket Building,C,Existing,380000,71556.0,$16.00 - 18.00,Warehouse,Long Island City,81.17,1964.0,,109620.0,0.13,"12'0""",18'w x 18'd,2.0,Heavy,,,2024 Tax @ $2.6899/sf,,71556.0,71556,"13/8'0""w x 10'0""h",Wet,,50.0,40.742125,-73.9323212,NY,NY.csv,6,T4-NY-00006,existing,True,False,direct_existing_facility,71556.0,True,True,True,True,Redstone Rocket Building,True,36081,Queens,NY,24,38178.148576516265,NY
7001 Anpesil Dr,,B,Existing,210000,117291.0,$30.48,Warehouse,North Bergen,92.86,1976.0,,210000.0,0.25,"21'10""",40'w x 36'd,20.0,1200a 3p 3w,,City,2024 Tax @ $2.1188/sf,,117291.0,15000,2,Wet,City,52.0,40.801645,-74.0238798,NY,NY.csv,7,T4-NY-00007,existing,True,False,direct_existing_facility,117291.0,True,True,True,True,"7001 Anpesil Dr, North Bergen, NY",True,34017,Hudson,NJ,9,23587.807365827575,NJ
59-00 Decatur St,,C,Existing,200000,32080.0,$23.00 - 31.68,Warehouse,Ridgewood,86.46,1922.0,,43280.0,,"12'0""",,9.0,Heavy,,,2024 Tax @ $2.7904/sf,,27080.0,27080,,Wet,,,40.6991146,-73.8965238,NY,NY.csv,8,T4-NY-00008,existing,True,False,direct_existing_facility,32080.0,True,True,True,True,"59-00 Decatur St, Ridgewood, NY",True,36081,Queens,NY,24,38178.148576516265,NY
95 Mayhill St,Saddle Brook Industrial Centre,B,Existing,430000,104000.0,$14.50 - 15.50,Distribution,Saddle Brook,75.81,1970.0,,430000.0,0.05,"30'0""",34'w x 40'd,6.0,400a/480v,,City,2024 Tax @ $2.4474/sf,,104000.0,104000,"1/10'0""w x 13'0""h",Wet,City,20.0,40.899206,-74.0898755,NY,NY.csv,9,T4-NY-00009,existing,True,False,direct_existing_facility,104000.0,True,True,True,True,Saddle Brook Industrial Centre,True,34003,Bergen,NJ,9,40572.76221834727,NJ
90 E 5th St,,C,Existing,244000,10000.0,$20.00,Warehouse,Bayonne,100.0,1901.0,,244000.0,,"65'0""",,11.0,,,City,2024 Tax @ $2.3243/sf,,10000.0,0,"1/10'0""w x 13'0""h",Wet,City,,40.6513182,-74.1219058,NY,NY.csv,10,T4-NY-00010,existing,True,False,direct_existing_facility,10000.0,True,False,True,True,"90 E 5th St, Bayonne, NY",False,34017,Hudson,NJ,9,23587.807365827575,NJ
