property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
956 E Erie Ave,Crown 95 Industrial Center,A,Existing,376950,343965.0,$4.95 - 6.25,Distribution,Philadelphia,8.75,2023.0,,376950.0,0.53,"36'0""",56'w x 54'd,42.0,4000a,,,,,343965.0,343965,1,ESFR,,303.0,40.004904,-75.1116086,PA,PA.csv,1,T4-PA-00001,existing,True,False,direct_existing_facility,343965.0,True,True,True,True,Crown 95 Industrial Center,True,42101,Philadelphia,PA,36,39685.20452044529,PA
5000 Richmond St,Building 2,A,Existing,348210,348210.0,$6.94 - 8.48 (Est.),Distribution,Philadelphia,0.0,2025.0,,348210.0,0.0,"40'0""",50'w x 56'd,42.0,1500a/277-480v 3p,,,,,348210.0,348210,4,ESFR,,1.0,40.004454,-75.0610242,PA,PA.csv,2,T4-PA-00002,existing,True,False,direct_existing_facility,348210.0,True,True,True,True,Building 2,True,42101,Philadelphia,PA,36,39685.20452044529,PA
6250 Baltimore Ave,Yeadon Industrial Center,B,Existing,454200,85372.0,$12.50,Warehouse,Yeadon,82.87,1955.0,1981.0,227100.0,10.0,"26'0""",25'w x 50'd,112.0,Heavy,,City,2024 Tax @ $2.3210/sf,,77826.0,77826,"5/10'0""w x 14'0""h",,City,134.0,39.941238,-75.2492888,PA,PA.csv,3,T4-PA-00003,existing,True,False,direct_existing_facility,85372.0,True,True,True,True,Yeadon Industrial Center,True,42045,Delaware,PA,27,17105.650988155794,PA
201 Center St,,B,Existing,315000,315000.0,$6.75,Warehouse,Hanover,100.0,1995.0,,315000.0,0.32,"24'0""",25'w x 50'd,35.0,Heavy,CSX,,2025 Tax @ $0.4839/sf,,315000.0,0,2,Wet,,102.0,39.8053714,-76.9639009,PA,PA.csv,4,T4-PA-00004,existing,True,False,direct_existing_facility,315000.0,True,True,True,True,"201 Center St, Hanover, PA",True,42133,York,PA,38,25340.211478760248,PA
1010 Franklin Dr,Franklin Commercial Park,B,Existing,374500,17800.0,$6.95,Warehouse,Smock,95.25,1998.0,,374500.0,0.0,"18'0""",30'w x 50'd,7.0,240v 3p 4w,,,2025 Tax @ $0.0877/sf,,17800.0,17800,1,,,,39.9609938,-79.747752,PA,PA.csv,5,T4-PA-00005,existing,True,False,direct_existing_facility,17800.0,True,False,True,True,Franklin Commercial Park,False,42051,Fayette,PA,2,4936.573220359516,PA
5660 Rising Sun Ave,,B,Existing,426335,115076.0,$6.50,Warehouse,Philadelphia,73.01,1955.0,,426335.0,1.08,"23'0""",,40.0,13000a 3p,,,,,115076.0,261722,,Wet,,461.0,40.0388295,-75.1123069,PA,PA.csv,6,T4-PA-00006,existing,True,False,direct_existing_facility,261722.0,True,True,True,True,"5660 Rising Sun Ave, Philadelphia, PA",True,42101,Philadelphia,PA,36,39685.20452044529,PA
11200 Roosevelt Blvd,,B,Existing,447376,97591.0,$7.50,Warehouse,Philadelphia,100.0,1960.0,,447376.0,0.42,"24'0""",30'w x 40'd,22.0,277-480a/120-208v,,City,2024 Tax @ $0.5474/sf,,97591.0,0,"4/16'0""w x 14'0""h",Dry,City,235.0,40.1036089,-75.0118354,PA,PA.csv,7,T4-PA-00007,existing,True,False,direct_existing_facility,97591.0,True,True,True,True,"11200 Roosevelt Blvd, Philadelphia, PA",True,42101,Philadelphia,PA,36,39685.20452044529,PA
200 Solar Dr,,A,Existing,315634,167176.0,$4.50 - 8.95,Distribution,Imperial,100.0,2016.0,,315634.0,0.48,"32'0""",50'w x 52'd,40.0,1000a/277-480v 3p,,,2024 Tax @ $1.1418/sf,,83583.0,0,"4/12'0""w x 14'0""h",,,190.0,40.4431826,-80.3006953,PA,PA.csv,8,T4-PA-00008,existing,True,False,direct_existing_facility,167176.0,True,True,True,True,"200 Solar Dr, Imperial, PA",True,42003,Allegheny,PA,45,51329.19942869223,PA
330-339 S Warminster Rd,Station Park,A,Existing,412454,265592.0,$12.00,Warehouse,Hatboro,70.58,1963.0,2014.0,209523.0,2.98,"40'0""",,13.0,4000a/480v 3p,,,2024 Tax @ $1.3437/sf,,265592.0,121353,4,Wet,,1249.0,40.17234,-75.101296,PA,PA.csv,9,T4-PA-00009,existing,True,False,direct_existing_facility,265592.0,True,True,True,True,Station Park,True,42091,Montgomery,PA,27,34544.91214171688,PA
1260 E Woodland Ave,,A,Existing,490000,1914.0,$9.00,Warehouse,Springfield Township,100.0,1942.0,,245000.0,5.0,"40'0""",,7.0,3p,,City,2024 Tax @ $0.7414/sf,,1914.0,0,,Yes,City,385.0,39.9094088,-75.3307431,PA,PA.csv,10,T4-PA-00010,existing,True,False,direct_existing_facility,1914.0,True,False,True,True,"1260 E Woodland Ave, Springfield Township, PA",False,42045,Delaware,PA,27,17105.650988155794,PA
