property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
340 Waterman Ave,,B,Existing,435369,327735.0,$6.00 - 7.00,Warehouse,Smithfield,24.72,1906.0,,52510.0,,,,11.0,,,,2025 Tax @ $0.1301/sf,,327735.0,327735,1,Wet,,,41.8763391,-71.5004198,RI,RI.csv,1,T4-RI-00001,existing,True,False,direct_existing_facility,327735.0,True,True,True,True,"340 Waterman Ave, Smithfield, RI",True,44007,Providence,RI,33,17322.63919427093,RI
338 Compass Cir,West Davisville Commons,B,Existing,400000,50000.0,$9.50,Warehouse,North Kingstown,87.5,1950.0,,400000.0,0.1,"16'0""",,6.0,200-400a/208v,,City,2025 Tax @ $0.3296/sf,,50000.0,50000,"18/10'0""w x 13'0""h",Dry,City,40.0,41.6039234,-71.4768468,RI,RI.csv,2,T4-RI-00002,existing,True,False,direct_existing_facility,50000.0,True,True,True,True,West Davisville Commons,True,44009,Washington,RI,40,4265.521067518722,RI
582 Great Rd,,B,Existing,490000,163000.0,$3.75 - 10.00,Warehouse,North Smithfield,90.82,1900.0,,163333.0,0.78,"13'0""",,6.0,3000a/208-600v 3p,,City,,,45000.0,45000,"16/8'0""w x 8'0""h",Wet,City,380.0,41.9965214,-71.5498534,RI,RI.csv,3,T4-RI-00003,existing,True,False,direct_existing_facility,163000.0,True,True,True,True,"582 Great Rd, North Smithfield, RI",True,44007,Providence,RI,33,17322.63919427093,RI
1372 Main St,,B,Existing,141802,67712.0,$8.95 - 12.00,Warehouse,Coventry,52.25,1980.0,,141802.0,1.16,"17'0""",,10.0,2000a/480v 3p,,Yes,2025 Tax @ $0.6546/sf,,67712.0,67712,,Wet,Yes,164.0,41.6945301,-71.5754443,RI,RI.csv,4,T4-RI-00004,existing,True,False,direct_existing_facility,67712.0,True,True,True,True,"1372 Main St, Coventry, RI",True,44003,Kent,RI,40,5174.6848245456495,RI
565 N Main St,,C,Existing,105935,57000.0,$5.00,Warehouse,Woonsocket,0.0,1918.0,,35312.0,0.0,,,1.0,,,,,,57000.0,105935,,Wet,,,42.013139,-71.5132061,RI,RI.csv,5,T4-RI-00005,existing,True,False,direct_existing_facility,105935.0,True,True,True,True,"565 N Main St, Woonsocket, RI",True,44007,Providence,RI,33,17322.63919427093,RI
10 New Rd,,B,Existing,341364,50000.0,$6.50,Warehouse,Rumford,100.0,1958.0,,339952.0,1.47,"22'0""",40'w x 30'd,32.0,300-1600a/120-480v 3p,,,2025 Tax @ $0.7779/sf,,0.0,0,"1/11'0""w x 14'0""h",Wet,,500.0,41.8566076,-71.3612655,RI,RI.csv,6,T4-RI-00006,existing,True,False,direct_existing_facility,50000.0,True,True,True,True,"10 New Rd, Rumford, RI",True,44007,Providence,RI,33,17322.63919427093,RI
1033 Broad St,,C,Existing,261500,10345.0,$8.29 - 10.14 (Est.),Warehouse,Central Falls,96.04,1900.0,,65000.0,0.49,,,8.0,,,,2025 Tax @ $0.0036/sf,,10345.0,10345,,,,129.0,41.894037,-71.386897,RI,RI.csv,7,T4-RI-00007,existing,True,False,direct_existing_facility,10345.0,True,False,True,True,"1033 Broad St, Central Falls, RI",False,44007,Providence,RI,33,17322.63919427093,RI
100 Maple Ridge Dr,,B,Existing,150351,150351.0,$8.20 - 10.02 (Est.),Distribution,Cumberland,100.0,2001.0,,150351.0,0.53,"23'3""",39'w x 45'd,10.0,2000a/480v 3p,,,2025 Tax @ $0.9495/sf,,150351.0,0,"1/9'0""w x 10'0""h",Wet,Yes,80.0,42.001217,-71.463392,RI,RI.csv,8,T4-RI-00008,existing,True,False,direct_existing_facility,150351.0,True,True,True,True,"100 Maple Ridge Dr, Cumberland, RI",True,44007,Providence,RI,33,17322.63919427093,RI
342 Compass Cir,,C,Existing,200000,10000.0,$8.82,Warehouse,North Kingstown,100.0,1950.0,,200000.0,0.2,"16'0""",25'w x 25'd,6.0,400a/208-480v,,City,2025 Tax @ $0.3296/sf,,0.0,0,"18/10'0""w x 14'0""h",Dry,City,40.0,41.603545,-71.477744,RI,RI.csv,9,T4-RI-00009,existing,True,False,direct_existing_facility,10000.0,True,False,True,True,"342 Compass Cir, North Kingstown, RI",False,44009,Washington,RI,40,4265.521067518722,RI
25 Almeida Ave,,B,Existing,116520,,$5.48 - 6.69 (Est.),Warehouse,East Providence,100.0,1980.0,,116520.0,10.0,"20'0""",47'w x 38'd,9.0,277-480v 3p,,,2025 Tax @ $0.8213/sf,,,0,2,Yes,,90.0,41.8155868,-71.3446136,RI,RI.csv,10,T4-RI-00010,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"25 Almeida Ave, East Providence, RI",False,44007,Providence,RI,33,17322.63919427093,RI
