property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
1012 North Campus Pky,Hampton Logistics Center - Building 1,A,Existing,230874,230874.0,$10.17 - 12.42 (Est.),Distribution,Hampton,0.0,2025.0,,230874.0,,"36'0""",52'w x 52'd,46.0,,,Yes,2025 Tax @ $0.0740/sf,,230874.0,230874,,ESFR,Yes,,37.0750784,-76.3992598,VA,VA.csv,1,T4-VA-00001,existing,True,False,direct_existing_facility,230874.0,True,True,True,True,Hampton Logistics Center - Building 1,True,51650,Hampton,VA,48,4630.1019112920285,VA
7701 Southern Dr,,B,Existing,253648,14500.0,$30.60,Warehouse,Springfield,94.28,1980.0,,253648.0,0.59,"12'0""",30'w x 40'd,17.0,120-208v,CSX,,2024 Tax @ $2.1358/sf,,14500.0,14500,"2/14'0""w",Wet,,150.0,38.792572,-77.208442,VA,VA.csv,2,T4-VA-00002,existing,True,False,direct_existing_facility,14500.0,True,False,True,True,"7701 Southern Dr, Springfield, VA",False,51059,Fairfax,VA,37,22163.51275167235,VA
802 Kyle Ave,Westport Axle,C,Existing,210822,210822.0,$5.25,Warehouse,Roanoke,0.0,1955.0,1995.0,201964.0,0.25,"30'0""",52'w x 20'd,16.0,1200a/480v 3p,Norfolk Southern,,2026 Tax @ $0.3183/sf,,210822.0,210822,"3/10'0""w x 12'0""h",Wet,,50.0,37.2909782,-79.9269101,VA,VA.csv,3,T4-VA-00003,existing,True,False,direct_existing_facility,210822.0,True,True,True,True,Westport Axle,True,51770,Roanoke,VA,14,8388.977190689662,VA
2700 Deepwater Terminal Rd,Cockrell Distribution Systems,B,Existing,332000,105000.0,$6.50,Warehouse,Richmond,68.37,1961.0,,332000.0,0.15,"24'0""",,14.0,,CSX,,2025 Tax @ $0.1555/sf,,105000.0,105000,,Dry,,17.0,37.4877851,-77.430802,VA,VA.csv,4,T4-VA-00004,existing,True,False,direct_existing_facility,105000.0,True,True,True,True,Cockrell Distribution Systems,True,51760,Richmond,VA,13,12184.296091134473,VA
3321 E Princess Anne Rd,,B,Existing,294657,39588.0,$9.95,Warehouse,Norfolk,86.56,1959.0,2022.0,294657.0,0.51,"36'0""",38'w x 36'd,31.0,2000a/480v,,,2024 Tax @ $0.6337/sf,,39588.0,39588,5,Wet,,150.0,36.860188,-76.245923,VA,VA.csv,5,T4-VA-00005,existing,True,False,direct_existing_facility,39588.0,True,True,True,True,"3321 E Princess Anne Rd, Norfolk, VA",True,51710,Norfolk,VA,4,14646.8294780879,VA
1180 Seminole Trl,Seminole Place,B,Existing,455000,13440.0,$17.26,Warehouse,Charlottesville,98.77,1983.0,2006.0,455000.0,2.0,"24'0""",,5.0,120-240a/277-480v,,Yes,2024 Tax @ $0.5230/sf,,5600.0,5600,"1/12'0""w x 9'0""h",Wet,Yes,1000.0,38.0698367,-78.487404,VA,VA.csv,6,T4-VA-00006,existing,True,False,direct_existing_facility,13440.0,True,False,True,True,Seminole Place,False,51003,Albemarle,VA,18,6007.015707768571,VA
14140 N Washington Hwy,,B,Existing,240200,56500.0,$6.75,Distribution,Ashland,76.48,1980.0,,240200.0,0.72,"32'0""",,75.0,2500a/480v 3p,,Yes,2025 Tax @ $0.3108/sf,,56500.0,56500,1,Wet,Yes,174.0,37.7915467,-77.466976,VA,VA.csv,7,T4-VA-00007,existing,True,False,direct_existing_facility,56500.0,True,True,True,True,"14140 N Washington Hwy, Ashland, VA",True,51085,Hanover,VA,47,7520.099129211037,VA
728 Wertz Rd,Halmode Building,C,Existing,251500,44000.0,$1.80,Warehouse,Roanoke,82.5,1962.0,,251500.0,0.12,"18'0""",,7.0,,,City,2026 Tax @ $0.1594/sf,,44000.0,44000,,Wet,City,30.0,37.3018264,-79.9271515,VA,VA.csv,8,T4-VA-00008,existing,True,False,direct_existing_facility,44000.0,True,True,True,True,Halmode Building,True,51770,Roanoke,VA,14,8388.977190689662,VA
756 S West St,National Warehouse,C,Existing,426000,10000.0,$4.00 - 5.00,Warehouse,Petersburg,97.65,1968.0,,426000.0,0.35,"20'0""",25'w,48.0,200a/240v,,City,,,10000.0,10000,"12/10'0""w x 10'0""h",Dry,City,150.0,37.215188,-77.419703,VA,VA.csv,9,T4-VA-00009,existing,True,False,direct_existing_facility,10000.0,True,False,True,True,National Warehouse,False,51730,Petersburg,VA,13,2189.561836178723,VA
7021 Wolftown-Hood Rd,,B,Existing,385000,210000.0,$6.75,Warehouse,Madison,45.45,1995.0,,192500.0,0.91,"32'0""",,18.0,2000a/480v 3p,,,2025 Tax @ $0.2606/sf,,210000.0,210000,3,ESFR,,350.0,38.3504114,-78.2897823,VA,VA.csv,10,T4-VA-00010,existing,True,False,direct_existing_facility,210000.0,True,True,True,True,"7021 Wolftown-Hood Rd, Madison, VA",True,51113,Madison,VA,18,973.8385612515666,VA
