property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
401 Gage St,,B,Existing,103444,75000.0,$8.00,Warehouse,Bennington,27.5,1980.0,,103444.0,,,,2.0,,,,2024 Tax @ $1.1194/sf,,75000.0,75000,2,Yes,,,42.8808325,-73.1906984,VT,VT.csv,1,T4-VT-00001,existing,True,False,direct_existing_facility,75000.0,True,True,True,True,"401 Gage St, Bennington, VT",True,50003,Bennington,VT,35,1657.8107092678706,VT
6653 Shelburne Rd,,B,Existing,120000,120000.0,$10.00,Warehouse,Shelburne,0.0,2000.0,,120000.0,0.22,"32'0""",50'w,9.0,1600a 3p,,County,,,120000.0,120000,"1/10'0""w",ESFR,County,26.0,44.362525,-73.23088,VT,VT.csv,2,T4-VT-00002,existing,True,False,direct_existing_facility,120000.0,True,True,True,True,"6653 Shelburne Rd, Shelburne, VT",True,50007,Chittenden,VT,10,8394.867629435597,VT
1030 Water St,,C,Existing,125000,50000.0,$4.00,Warehouse,North Bennington,60.0,1967.0,,125000.0,0.4,"16'0""",,5.0,,,,,,50000.0,50000,,Dry,,50.0,42.9145149,-73.2461448,VT,VT.csv,3,T4-VT-00003,existing,True,False,direct_existing_facility,50000.0,True,True,True,True,"1030 Water St, North Bennington, VT",True,50003,Bennington,VT,35,1657.8107092678706,VT
3442 US Route 22A,,B,Existing,113000,,$5.51 - 6.73 (Est.),Distribution,Shoreham,100.0,1937.0,,113000.0,0.0,,,,,,,,,,0,,,,,43.8919189,-73.3101679,VT,VT.csv,4,T4-VT-00004,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3442 US Route 22A, Shoreham, VT",False,50001,Addison,VT,35,2033.950613139225,VT
372 Vermont Route 67 E,,B,Existing,196000,196000.0,$4.50,Distribution,Shaftsbury,0.0,1972.0,,196000.0,0.12,"18'0""",,4.0,480v 3p,,,,,196000.0,196000,15,Wet,,24.0,42.947183,-73.216718,VT,VT.csv,5,T4-VT-00005,existing,True,False,direct_existing_facility,196000.0,True,True,True,True,"372 Vermont Route 67 E, Shaftsbury, VT",True,50003,Bennington,VT,35,1657.8107092678706,VT
42 Allen Martin Dr,,B,Existing,372500,,$9.41 - 11.50 (Est.),Distribution,Essex Junction,100.0,2014.0,,372500.0,,,,,,,,2024 Tax @ $1.1528/sf,,,0,,,,,44.4982891,-73.0467627,VT,VT.csv,6,T4-VT-00006,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"42 Allen Martin Dr, Essex Junction, VT",False,50007,Chittenden,VT,10,8394.867629435597,VT
160 Benmont Ave,,B,Existing,160782,,$8.19 - 10.01 (Est.),Warehouse,Bennington,100.0,1865.0,,32156.0,0.47,"16'0""",,2.0,,,City,2024 Tax @ $0.6203/sf,,,0,,,City,76.0,42.8842029,-73.2026002,VT,VT.csv,7,T4-VT-00007,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"160 Benmont Ave, Bennington, VT",False,50003,Bennington,VT,35,1657.8107092678706,VT
160 Boyer Cir,,C,Existing,100000,,$10.50 - 12.83 (Est.),Warehouse,Williston,100.0,2001.0,,100000.0,0.3,,,10.0,,,,,,,0,,Wet,,30.0,44.446332,-73.133653,VT,VT.csv,8,T4-VT-00008,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"160 Boyer Cir, Williston, VT",False,50007,Chittenden,VT,10,8394.867629435597,VT
3046 Case St,,F,Existing,107000,,$7.31 - 8.93 (Est.),Warehouse,Middlebury,100.0,1989.0,,107000.0,,,,,,,,2024 Tax @ $0.1734/sf,,,0,Yes,,,,44.0155328,-73.1004565,VT,VT.csv,9,T4-VT-00009,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"3046 Case St, Middlebury, VT",False,50001,Addison,VT,35,2033.950613139225,VT
7 Everett Ln,,C,Existing,250000,,$5.82 - 7.11 (Est.),Warehouse,Windsor,100.0,1916.0,,72500.0,0.69,"40'0""",,2.0,,,City,,,,0,5,Wet,City,100.0,43.4828362,-72.3837403,VT,VT.csv,10,T4-VT-00010,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"7 Everett Ln, Windsor, VT",False,50027,Windsor,VT,10,2478.0292667722365,VT
327 Holly Ct,,C,Existing,164000,,$10.08 - 12.32 (Est.),Distribution,Williston,100.0,1995.0,,164000.0,1.09,"26'0""",,4.0,120a/208v,,,,,,0,Yes,Yes,,180.0,44.4544713,-73.1277022,VT,VT.csv,11,T4-VT-00011,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"327 Holly Ct, Williston, VT",False,50007,Chittenden,VT,10,8394.867629435597,VT
20 Karen Dr,Pepsi-Cola Bottling Co of Burlington,B,Existing,100000,,$10.26 - 12.55 (Est.),Warehouse,South Burlington,100.0,1984.0,,81196.0,,,,,,,,2024 Tax @ $1.2146/sf,,,0,,,,,44.4207952,-73.2081567,VT,VT.csv,12,T4-VT-00012,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Pepsi-Cola Bottling Co of Burlington,False,50007,Chittenden,VT,10,8394.867629435597,VT
67 Kathan Meadow Rd,,B,Existing,115000,115000.0,$8.74 - 10.68 (Est.),Warehouse,East Dummerston,0.0,1980.0,,115000.0,0.27,,,,2000a 3p,,Yes,2024 Tax @ $0.3001/sf,,115000.0,115000,,Wet,Yes,31.0,42.962547,-72.521468,VT,VT.csv,13,T4-VT-00013,existing,True,False,direct_existing_facility,115000.0,True,True,True,True,"67 Kathan Meadow Rd, East Dummerston, VT",True,50025,Windham,VT,10,2402.5759112624864,VT
21 Lower Newton St,,C,Existing,184000,,$4.12 - 5.03 (Est.),Distribution,Saint Albans,100.0,1960.0,,184000.0,,"24'0""",42'w,10.0,2000a 3p,,City,2024 Tax @ $0.0647/sf,,,0,2,Dry,City,30.0,44.82217,-73.0839299,VT,VT.csv,14,T4-VT-00014,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"21 Lower Newton St, Saint Albans, VT",False,50011,Franklin,VT,10,2667.692678606695,VT
685 Marshall Ave,,C,Existing,100695,,$10.23 - 12.50 (Est.),Distribution,Williston,100.0,1998.0,,100695.0,0.88,"30'0""",,12.0,3p,,,,,,0,3,ESFR,,89.0,44.442928,-73.1258345,VT,VT.csv,15,T4-VT-00015,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"685 Marshall Ave, Williston, VT",False,50007,Chittenden,VT,10,8394.867629435597,VT
601 Old River Rd,,B,Existing,227743,150000.0,$4.97 - 6.07 (Est.),Warehouse,White River Junction,34.14,1957.0,1968.0,227743.0,0.0,,,29.0,,,,2024 Tax @ $0.3128/sf,,150000.0,150000,,,,,43.6629713,-72.3529003,VT,VT.csv,16,T4-VT-00016,existing,True,False,direct_existing_facility,150000.0,True,True,True,True,"601 Old River Rd, White River Junction, VT",True,50027,Windsor,VT,10,2478.0292667722365,VT
92 Park St,,C,Existing,220000,,$8.19 - 10.01 (Est.),Warehouse,Rutland,100.0,1954.0,1996.0,110000.0,1.13,"16'0""",,5.0,480v 3p,,,,,,0,Yes,,,240.0,43.59225,-72.978412,VT,VT.csv,17,T4-VT-00017,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"92 Park St, Rutland, VT",False,50021,Rutland,VT,35,2681.5133994036523,VT
210 Riverside Dr,,B,Existing,310000,180000.0,$8.74 - 10.69 (Est.),Warehouse,Brattleboro,41.94,1960.0,2009.0,310000.0,0.32,"35'0""",,10.0,,,Yes,2024 Tax @ $0.1982/sf,,180000.0,180000,7,Wet,Yes,100.0,42.8375287,-72.5481841,VT,VT.csv,18,T4-VT-00018,existing,True,False,direct_existing_facility,180000.0,True,True,True,True,"210 Riverside Dr, Brattleboro, VT",True,50025,Windham,VT,10,2402.5759112624864,VT
1007 Route 346,,C,Existing,120000,,$7.55 - 9.22 (Est.),Warehouse,Pownal,100.0,1948.0,,,,,,,,,,2024 Tax @ $0.1434/sf,,,0,,,,,42.7748383,-73.2420092,VT,VT.csv,19,T4-VT-00019,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1007 Route 346, Pownal, VT",False,50003,Bennington,VT,35,1657.8107092678706,VT
155 Seward Rd,Rutland Mfg & Distribution Warehouse,B,Existing,123512,,$8.19 - 10.01 (Est.),Warehouse,Rutland Town,100.0,1980.0,,61756.0,1.21,"24'1""",,11.0,1200a/277-480v 3p,,County,,,,0,3,Wet,County,150.0,43.5865893,-72.9646956,VT,VT.csv,20,T4-VT-00020,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Rutland Mfg & Distribution Warehouse,False,50021,Rutland,VT,35,2681.5133994036523,VT
90 Technology Dr,,B,Existing,165611,,$7.80 - 9.53 (Est.),Distribution,Brattleboro,100.0,1999.0,2001.0,165611.0,1.82,"40'0""",36'w x 40'd,21.0,1200-1600a/277-480v 3p 4w,,City,2024 Tax @ $1.1857/sf,,,0,2,Wet,City,302.0,42.8749037,-72.5656035,VT,VT.csv,21,T4-VT-00021,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"90 Technology Dr, Brattleboro, VT",False,50025,Windham,VT,10,2402.5759112624864,VT
67 Tubbs Ave,,C,Existing,133000,,$5.66 - 6.91 (Est.),Distribution,Brandon,100.0,1997.0,,133000.0,,"20'0""",,8.0,4000a/265-460v,,City,2024 Tax @ $0.2546/sf,,,0,2,Yes,City,,43.8161632,-73.1123902,VT,VT.csv,22,T4-VT-00022,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"67 Tubbs Ave, Brandon, VT",False,50021,Rutland,VT,35,2681.5133994036523,VT
62 Vermont Castings Way,,C,Existing,159000,,$4.33 - 5.29 (Est.),Warehouse,Bethel,100.0,1976.0,,159000.0,,"18'0""",,5.0,,,,2024 Tax @ $0.2279/sf,,,0,1,,,,43.824846,-72.6203106,VT,VT.csv,23,T4-VT-00023,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"62 Vermont Castings Way, Bethel, VT",False,50027,Windsor,VT,10,2478.0292667722365,VT
257 Clinton St,,C,Existing,157500,,$8.20 - 10.03 (Est.),Warehouse,Springfield,100.0,1941.0,1963.0,157500.0,,"23'0""",,1.0,2000a/480v 3p 4w,,City,2024 Tax @ $0.0641/sf,,,0,"3/12'0""w x 14'0""h",Wet,City,,43.2866,-72.47172,VT,VT.csv,24,T4-VT-00024,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"257 Clinton St, Springfield, VT",False,50027,Windsor,VT,10,2478.0292667722365,VT
