property_address,property_name,building_class,building_status,rba_sf,total_available_space_sf,rent_sf_yr,secondary_type,city,percent_leased,year_built,year_renovated,typical_floor_size_sf,parking_ratio,ceiling_height_raw,column_spacing,number_loading_docks,power,rail_lines,sewer,building_operating_expenses,capacity_available_kw,direct_available_space_sf,direct_vacant_space_sf,drive_ins,sprinklers,water,parking_spaces,latitude,longitude,source_state,source_file,source_row,candidate_id,building_status_normalized,is_directly_usable_by_status,is_pipeline_or_proxy_by_status,availability_class,usable_available_space_sf,has_listed_available_space,meets_min_available_space_20k,is_logistics_related_type,has_valid_coordinates,facility_name,is_primary_regional_hub_candidate,county_fips,county_name,county_state,region_id,county_throughput_ktons,region_state
4200 1st Ave,,B,Existing,140000,31614.0,$8.50 - 9.00,Distribution,Nitro,77.42,1980.0,,140000.0,2.0,"20'0""",,6.0,3p,,Yes,2025 Tax @ $0.1292/sf,,31614.0,31614,"6/10'0""w x 12'0""h",Dry,Yes,40.0,38.4459371,-81.8317355,WV,WV.csv,1,T4-WV-00001,existing,True,False,direct_existing_facility,31614.0,True,True,True,True,"4200 1st Ave, Nitro, WV",True,54079,Putnam,WV,42,2453.276989922623,WV
1211 Afg Rd,"Taylor Warehouse Services, LLC",A,Existing,482250,482250.0,$4.50,Warehouse,Bridgeport,0.0,1979.0,1995.0,482250.0,0.21,"31'3""",25'w x 50'd,9.0,120-480v 3p,,,2025 Tax @ $0.1033/sf,,482250.0,482250,"8/12'0""w x 21'0""h",Wet,,100.0,39.2862716,-80.1820398,WV,WV.csv,2,T4-WV-00002,existing,True,False,direct_existing_facility,482250.0,True,True,True,True,"Taylor Warehouse Services, LLC",True,54091,Taylor,WV,34,499.2745345174018,WV
927 Barlow Dr,Young's Industrial Park Building 4,B,Existing,100000,9163.0,$7.00,Warehouse,Charleston,90.84,2003.0,,100000.0,0.05,"20'0""",,2.0,Heavy,,City,2025 Tax @ $0.1842/sf,,9163.0,9163,"26/12'0""w x 14'0""h",,City,5.0,38.3644046,-81.6095467,WV,WV.csv,3,T4-WV-00003,existing,True,False,direct_existing_facility,9163.0,True,False,True,True,Young's Industrial Park Building 4,False,54039,Kanawha,WV,28,7046.560946958108,WV
3901 Camden Ave,,C,Existing,241000,150000.0,$2.75,Warehouse,Parkersburg,37.76,1972.0,2011.0,241000.0,0.21,"22'0""",24'w,7.0,500a/480v,,Yes,2025 Tax @ $0.0019/sf,,150000.0,150000,"2/12'0""w x 12'0""h",Wet,Yes,50.0,39.2445727,-81.5285797,WV,WV.csv,4,T4-WV-00004,existing,True,False,direct_existing_facility,150000.0,True,True,True,True,"3901 Camden Ave, Parkersburg, WV",True,54107,Wood,WV,42,3676.469095439795,WV
64 Waterway Dr,,B,Existing,100000,100000.0,$6.50,Distribution,Poca,100.0,1970.0,,50000.0,0.41,,,7.0,Heavy,,,2025 Tax @ $0.2182/sf,,100000.0,0,Yes,,,48.0,38.49274,-81.83414,WV,WV.csv,5,T4-WV-00005,existing,True,False,direct_existing_facility,100000.0,True,True,True,True,"64 Waterway Dr, Poca, WV",True,54079,Putnam,WV,42,2453.276989922623,WV
1 West Fork St,Harrison Warehouse,C,Existing,185432,185432.0,$5.00,Warehouse,Clarksburg,0.0,1980.0,,185432.0,,,25'w,8.0,100v 3p,,City,2025 Tax @ $0.0393/sf,,185432.0,185432,7,Dry,City,,39.2983209,-80.3550101,WV,WV.csv,6,T4-WV-00006,existing,True,False,direct_existing_facility,185432.0,True,True,True,True,Harrison Warehouse,True,54033,Harrison,WV,34,2772.9493394603523,WV
2601 Madison Ave,,B,Existing,220000,220000.0,$8.46 - 10.34 (Est.),Warehouse,Point Pleasant,0.0,1960.0,,220000.0,0.14,"13'0""",,24.0,480a 3p,,Yes,2025 Tax @ $0.2409/sf,,220000.0,220000,3,,Yes,30.0,38.8728369,-82.1341812,WV,WV.csv,7,T4-WV-00007,existing,True,False,direct_existing_facility,220000.0,True,True,True,True,"2601 Madison Ave, Point Pleasant, WV",True,54053,Mason,WV,42,877.9632188253443,WV
748 McMechen St,,B,Existing,182441,78000.0,$5.05 - 6.18 (Est.),Warehouse,Benwood,57.25,1940.0,,173319.0,,"32'0""",,,,,,2025 Tax @ $0.0664/sf,,78000.0,78000,1,,,,40.0136528,-80.7358973,WV,WV.csv,8,T4-WV-00008,existing,True,False,direct_existing_facility,78000.0,True,True,True,True,"748 McMechen St, Benwood, WV",True,54051,Marshall,WV,42,1224.0566043932172,WV
4903 Winchester Ave,Building A,A,Existing,365400,365400.0,$7.47 - 9.13 (Est.),Warehouse,Martinsburg,0.0,2023.0,,365400.0,1.57,"40'0""",56'w x 52'd,90.0,4000a/277-480v 3p,,,2025 Tax @ $0.7743/sf,,365400.0,365400,"4/12'0""w x 14'0""h",ESFR,,574.0,39.3919046,-78.0055224,WV,WV.csv,9,T4-WV-00009,existing,True,False,direct_existing_facility,365400.0,True,True,True,True,Building A,True,54003,Berkeley,WV,8,4229.5714565852395,WV
138-150 57th St SE,,B,Existing,201000,37655.0,$8.50,Warehouse,Charleston,81.27,1985.0,,201000.0,5.97,"24'0""",30'w x 50'd,20.0,Heavy,,Yes,2024 Tax @ $0.4833/sf,,37655.0,37655,"2/12'0""w x 14'0""h",Dry,Yes,1200.0,38.3155128,-81.5656371,WV,WV.csv,10,T4-WV-00010,existing,True,False,direct_existing_facility,37655.0,True,True,True,True,"138-150 57th St SE, Charleston, WV",True,54039,Kanawha,WV,28,7046.560946958108,WV
1330 6th St,,C,Existing,128155,,$7.92 - 9.69 (Est.),Warehouse,Charleston,100.0,,,33725.0,,,,3.0,,,,2025 Tax @ $0.0686/sf,,,0,"7/12'0""w x 12'0""h",,,40.0,38.3677206,-81.6584158,WV,WV.csv,11,T4-WV-00011,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"1330 6th St, Charleston, WV",False,54039,Kanawha,WV,28,7046.560946958108,WV
N 8th & Hazlett Ave,,C,Existing,240000,,$1.33 - 1.62 (Est.),Warehouse,Wheeling,100.0,1957.0,2010.0,80000.0,0.63,"22'0""",,2.0,,,,2025 Tax @ $0.0662/sf,,,0,1,Dry,,150.0,40.11005,-80.7013013,WV,WV.csv,12,T4-WV-00012,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"N 8th & Hazlett Ave, Wheeling, WV",False,54069,Ohio,WV,42,1894.6281411875625,WV
120 W 19th St,,C,Existing,116304,,$7.41 - 9.05 (Est.),Warehouse,Nitro,100.0,,,62777.0,0.34,,,10.0,,,,2024 Tax @ $0.1579/sf,,,0,,,,40.0,38.422899,-81.843888,WV,WV.csv,13,T4-WV-00013,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"120 W 19th St, Nitro, WV",False,54039,Kanawha,WV,28,7046.560946958108,WV
325 W 19th St,,C,Existing,137074,,$7.69 - 9.40 (Est.),Distribution,Nitro,100.0,,,137074.0,0.29,,,8.0,,,,2025 Tax @ $0.3701/sf,,,0,"1/10'0""w x 12'0""h",,,40.0,38.4301777,-81.8457589,WV,WV.csv,14,T4-WV-00014,existing,True,False,direct_existing_facility,0.0,False,False,True,True,"325 W 19th St, Nitro, WV",False,54079,Putnam,WV,42,2453.276989922623,WV
9 27th St,Liggett & Myers Tobacco Co.,C,Existing,294716,,$6.38 - 7.80 (Est.),Warehouse,Huntington,100.0,1917.0,,79539.0,,,,2.0,,,,2025 Tax @ $0.1076/sf,,,0,2,,,30.0,38.4340216,-82.4090101,WV,WV.csv,15,T4-WV-00015,existing,True,False,direct_existing_facility,0.0,False,False,True,True,Liggett & Myers Tobacco Co.,False,54011,Cabell,WV,42,4583.847771868937,WV
