candidate_id,source_state,source_file,source_row,facility_name,property_name,property_address,city,county_fips,county_name,region_id,latitude,longitude,secondary_type,building_class,building_status,availability_class,is_directly_usable_by_status,has_listed_available_space,is_primary_regional_hub_candidate,rba_sf,usable_available_space_sf,total_available_space_sf,direct_available_space_sf,direct_vacant_space_sf,meets_min_available_space_20k,percent_leased,typical_floor_size_sf,ceiling_height_raw,column_spacing,number_loading_docks,drive_ins,rail_lines,capacity_available_kw,power,sprinklers,water,sewer,parking_ratio,parking_spaces,year_built,year_renovated
T4-CT-00001,CT,CT.csv,1,1100 Buckingham St,1100 Buckingham St,1100 Buckingham St,Watertown,09140,Naugatuck Valley,40,41.6160695,-73.0960454,Warehouse,B,Existing,direct_existing_facility,True,True,True,325000,34000.0,34000.0,0.0,0,True,100.0,325000.0,"19'0""",,7.0,,,,1200a/480v 3p,Yes,,,0.43,140.0,1970.0,2000.0
T4-CT-00002,CT,CT.csv,2,"18 Craftsman Rd, East Windsor, CT",,18 Craftsman Rd,East Windsor,09110,Capitol,39,41.9175638,-72.5904117,Warehouse,B,Existing,direct_existing_facility,True,True,True,279256,279256.0,279256.0,0.0,0,True,100.0,279256.0,"20'0""",40'w x 35'd,9.0,"3/10'0""w x 12'0""h",,,800-6000a/277-480v 3p,Wet,,,1.07,300.0,1979.0,2021.0
T4-CT-00003,CT,CT.csv,3,Building C,Building C,59 Field St,Torrington,09160,Northwest Hills,0,41.8067472,-73.1261358,Warehouse,C,Existing,direct_existing_facility,True,True,True,239444,204652.0,204652.0,204652.0,204652,True,14.53,79815.0,"10'0""",,,,,,,,,,2.09,500.0,1916.0,
T4-CT-00004,CT,CT.csv,4,"730 N Main St, Waterbury, CT",,730 N Main St,Waterbury,09140,Naugatuck Valley,40,41.5630125,-73.0310594,Warehouse,C,Existing,direct_existing_facility,True,True,True,350199,50800.0,50800.0,50800.0,50800,True,85.49,350000.0,"27'6""",,2.0,4,,,600-1600a 3p,Wet,City,City,0.45,159.0,1890.0,
T4-CT-00005,CT,CT.csv,5,"53 Manning Rd, Enfield, CT",,53 Manning Rd,Enfield,09110,Capitol,39,42.018142,-72.598432,Warehouse,C,Existing,direct_existing_facility,True,True,True,362568,227783.0,227783.0,227783.0,227783,True,37.18,181284.0,"14'9""",25'w x 25'd,24.0,2,,,800-2500a/208-480v 3p,Wet,City,City,0.46,166.0,1962.0,
T4-CT-00006,CT,CT.csv,6,Old Gate Business Park,Old Gate Business Park,125 Old Gate Ln,Milford,09170,South Central Connecticut,40,41.2287967,-73.0297337,Distribution,B,Existing,direct_existing_facility,True,True,True,350000,60004.0,60004.0,60004.0,60004,True,82.86,270000.0,"24'0""",25'w x 40'd,14.0,2,,,Heavy,Wet,City,City,1.21,424.0,1970.0,2004.0
T4-CT-00007,CT,CT.csv,7,"550 Research Pky, Meriden, CT",,550 Research Pky,Meriden,09170,South Central Connecticut,40,41.512589,-72.764691,Warehouse,B,Existing,direct_existing_facility,True,True,True,326751,526751.0,526751.0,326751.0,326751,True,0.0,326751.0,"18'0""",35'w x 40'd,41.0,"3/10'0""w x 12'0""h",,,3000a/277-480v 3p,Wet,City,City,0.94,190.0,1969.0,2006.0
T4-CT-00008,CT,CT.csv,8,"640 N Washington Ave, Bridgeport, CT",,640 N Washington Ave,Bridgeport,09120,Greater Bridgeport,0,41.1925094,-73.1908148,Warehouse,C,Existing,direct_existing_facility,True,True,True,275301,36000.0,36000.0,36000.0,36000,True,86.92,89000.0,"35'0""",,8.0,1,,,800a/277-480v 3p,Wet,,,0.84,75.0,1940.0,
T4-CT-00009,CT,CT.csv,9,"30 Forbes Rd, Dayville, CT",,30 Forbes Rd,Dayville,09150,Northeastern Connecticut,40,41.8595765,-71.9077145,Distribution,B,Existing,direct_existing_facility,True,True,True,460000,460000.0,460000.0,0.0,0,True,100.0,460000.0,"26'0""",40'w x 45'd,56.0,2,,,4600a/277-480v 3p,Wet,,,0.43,200.0,1989.0,
T4-CT-00012,CT,CT.csv,12,"383 Middle St, Bristol, CT",,383 Middle St,Bristol,09140,Naugatuck Valley,40,41.659242,-72.914111,Warehouse,B,Existing,direct_existing_facility,True,True,True,322840,250000.0,250000.0,250000.0,250000,True,22.56,322840.0,"15'0""",35'w x 35'd,3.0,2,,,Heavy,Wet,,,3.63,1171.0,1960.0,2004.0
